,noc_code,X,occupation,employment,median.income,mean.income,geography,nchar,remote_work
52,13,15150,"        0013 Senior managers - financial, communications and other business services",115,82753,92045,Saguenay,4,1
53,13,15148,"        0013 Senior managers - financial, communications and other business services",310,165482,186512,Regina,4,1
54,13,15136,"        0013 Senior managers - financial, communications and other business services",2040,110814,199662,Ottawa - Gatineau (Ontario part / partie de l'Ontario),4,1
55,13,1580,"        0013 Senior managers - financial, communications and other business services",130,102283,118516,Kingston,4,1
56,13,15142,"        0013 Senior managers - financial, communications and other business services",110,84156,95912,Prince Edward Island / Œle-du-Prince-…douard,4,1
57,13,15144,"        0013 Senior managers - financial, communications and other business services",14070,90694,174282,Quebec / QuÈbec [1],4,1
58,13,1527,"        0013 Senior managers - financial, communications and other business services",57935,115341,216584,Canada,4,1
59,13,15106,"        0013 Senior managers - financial, communications and other business services",370,118479,154248,Newfoundland and Labrador / Terre-Neuve-et-Labrador,4,1
60,13,15178,"        0013 Senior managers - financial, communications and other business services",25,0,0,Yukon [1],4,1
61,13,15130,"        0013 Senior managers - financial, communications and other business services",26560,129058,246765,Ontario [1],4,1
62,13,15134,"        0013 Senior managers - financial, communications and other business services",2295,107208,188047,Ottawa - Gatineau,4,1
63,13,1516,"        0013 Senior managers - financial, communications and other business services",65,73717,91176,Brantford [1],4,1
64,13,15132,"        0013 Senior managers - financial, communications and other business services",525,125666,180277,Oshawa,4,1
65,13,1560,"        0013 Senior managers - financial, communications and other business services",1435,118515,153633,Hamilton,4,1
66,13,15105,"        0013 Senior managers - financial, communications and other business services",605,90442,118623,New Brunswick / Nouveau-Brunswick,4,1
67,13,15166,"        0013 Senior managers - financial, communications and other business services",17300,142795,290682,Toronto,4,1
68,13,15170,"        0013 Senior managers - financial, communications and other business services",5645,110028,201987,Vancouver [1],4,1
69,13,15107,"        0013 Senior managers - financial, communications and other business services",55,105952,130714,Northwest Territories / Territoires du Nord-Ouest [1],4,1
70,13,15152,"        0013 Senior managers - financial, communications and other business services",100,106128,146716,Saint John,4,1
71,13,1512,"        0013 Senior managers - financial, communications and other business services",175,81555,97798,Barrie,4,1
72,13,15158,"        0013 Senior managers - financial, communications and other business services",245,53983,93495,Sherbrooke,4,1
73,13,15172,"        0013 Senior managers - financial, communications and other business services",640,114403,204911,Victoria [1],4,1
74,13,1530,"        0013 Senior managers - financial, communications and other business services",135,123231,162829,Greater Sudbury / Grand Sudbury,4,1
75,13,1520,"        0013 Senior managers - financial, communications and other business services",3070,148027,297028,Calgary,4,1
76,13,15156,"        0013 Senior managers - financial, communications and other business services",415,142240,214217,Saskatoon,4,1
77,13,15162,"        0013 Senior managers - financial, communications and other business services",295,119915,170185,St. John's,4,1
78,13,1550,"        0013 Senior managers - financial, communications and other business services",715,129768,236439,Halifax,4,1
79,13,15103,"        0013 Senior managers - financial, communications and other business services",190,105160,129188,Moncton,4,1
80,13,1514,"        0013 Senior managers - financial, communications and other business services",65,59692,74621,Belleville,4,1
81,13,15102,"        0013 Senior managers - financial, communications and other business services",1230,124592,189514,Manitoba,4,1
82,13,15146,"        0013 Senior managers - financial, communications and other business services",1585,96435,146651,Québec,4,1
83,13,15168,"        0013 Senior managers - financial, communications and other business services",180,69904,88815,Trois-Rivières,4,1
84,13,1518,"        0013 Senior managers - financial, communications and other business services",7665,105078,185865,British Columbia / Colombie-Britannique [1],4,1
85,13,15160,"        0013 Senior managers - financial, communications and other business services",365,85590,138499,St. Catharines - Niagara,4,1
86,13,15138,"        0013 Senior managers - financial, communications and other business services",255,64770,94849,Ottawa - Gatineau (partie du Québec / Quebec part),4,1
87,13,15108,"        0013 Senior managers - financial, communications and other business services",965,117377,213601,Nova Scotia / Nouvelle-…cosse,4,1
88,13,1570,"        0013 Senior managers - financial, communications and other business services",305,80191,114198,Kelowna,4,1
89,13,15,"        0013 Senior managers - financial, communications and other business services",105,65022,125248,Abbotsford - Mission,4,1
90,13,15154,"        0013 Senior managers - financial, communications and other business services",915,144433,197904,Saskatchewan,4,1
91,13,15174,"        0013 Senior managers - financial, communications and other business services",230,102966,158718,Windsor,4,1
92,13,15176,"        0013 Senior managers - financial, communications and other business services",1025,126933,199811,Winnipeg,4,1
93,13,15140,"        0013 Senior managers - financial, communications and other business services",110,105479,163606,Peterborough,4,1
94,13,15101,"        0013 Senior managers - financial, communications and other business services",720,99966,139955,London,4,1
95,13,15164,"        0013 Senior managers - financial, communications and other business services",55,0,0,Thunder Bay,4,1
96,13,15109,"        0013 Senior managers - financial, communications and other business services",30,157184,174856,Nunavut [1],4,1
97,13,15104,"        0013 Senior managers - financial, communications and other business services",9650,101102,200023,Montréal [1],4,1
98,13,1510,"        0013 Senior managers - financial, communications and other business services",5345,137331,251665,Alberta [1],4,1
99,13,1540,"        0013 Senior managers - financial, communications and other business services",340,116732,178632,Guelph,4,1
100,13,1590,"        0013 Senior managers - financial, communications and other business services",1085,129279,207549,Kitchener - Cambridge - Waterloo,4,1
101,13,15100,"        0013 Senior managers - financial, communications and other business services",45,87190,126168,Lethbridge,4,1
102,13,1529,"        0013 Senior managers - financial, communications and other business services",1590,124802,201151,Edmonton,4,1
103,14,1614,"        0014 Senior managers - health, education, social and community services and membership organizations",40,92757,76042,Belleville,4,1
104,14,16174,"        0014 Senior managers - health, education, social and community services and membership organizations",145,74668,87019,Windsor,4,1
105,14,1620,"        0014 Senior managers - health, education, social and community services and membership organizations",805,109771,124513,Calgary,4,1
106,14,1627,"        0014 Senior managers - health, education, social and community services and membership organizations",26455,82409,104525,Canada,4,1
107,14,16107,"        0014 Senior managers - health, education, social and community services and membership organizations",85,102451,108279,Northwest Territories / Territoires du Nord-Ouest [1],4,1
108,14,16148,"        0014 Senior managers - health, education, social and community services and membership organizations",310,87281,116553,Regina,4,1
109,14,1629,"        0014 Senior managers - health, education, social and community services and membership organizations",960,93353,126338,Edmonton,4,1
110,14,16109,"        0014 Senior managers - health, education, social and community services and membership organizations",35,136704,149250,Nunavut [1],4,1
111,14,16176,"        0014 Senior managers - health, education, social and community services and membership organizations",875,78041,88291,Winnipeg,4,1
112,14,16101,"        0014 Senior managers - health, education, social and community services and membership organizations",360,103851,133236,London,4,1
113,14,16136,"        0014 Senior managers - health, education, social and community services and membership organizations",1010,106145,128866,Ottawa - Gatineau (Ontario part / partie de l'Ontario),4,1
114,14,1616,"        0014 Senior managers - health, education, social and community services and membership organizations",160,91645,107352,Brantford [1],4,1
115,14,16144,"        0014 Senior managers - health, education, social and community services and membership organizations",6480,66290,82920,Quebec / QuÈbec [1],4,1
116,14,1610,"        0014 Senior managers - health, education, social and community services and membership organizations",2510,98954,122971,Alberta [1],4,1
117,14,16132,"        0014 Senior managers - health, education, social and community services and membership organizations",245,94730,154424,Oshawa,4,1
118,14,16142,"        0014 Senior managers - health, education, social and community services and membership organizations",160,55888,69252,Prince Edward Island / Œle-du-Prince-…douard,4,1
119,14,16100,"        0014 Senior managers - health, education, social and community services and membership organizations",100,102597,124492,Lethbridge,4,1
120,14,1670,"        0014 Senior managers - health, education, social and community services and membership organizations",110,89142,98822,Kelowna,4,1
121,14,16150,"        0014 Senior managers - health, education, social and community services and membership organizations",130,68486,70722,Saguenay,4,1
122,14,16102,"        0014 Senior managers - health, education, social and community services and membership organizations",1160,72080,82202,Manitoba,4,1
123,14,16130,"        0014 Senior managers - health, education, social and community services and membership organizations",10070,94339,120652,Ontario [1],4,1
124,14,16106,"        0014 Senior managers - health, education, social and community services and membership organizations",385,83200,97714,Newfoundland and Labrador / Terre-Neuve-et-Labrador,4,1
125,14,1630,"        0014 Senior managers - health, education, social and community services and membership organizations",140,93720,96942,Greater Sudbury / Grand Sudbury,4,1
126,14,16105,"        0014 Senior managers - health, education, social and community services and membership organizations",580,59390,75988,New Brunswick / Nouveau-Brunswick,4,1
127,14,16172,"        0014 Senior managers - health, education, social and community services and membership organizations",335,84405,101068,Victoria [1],4,1
128,14,16140,"        0014 Senior managers - health, education, social and community services and membership organizations",135,81012,106936,Peterborough,4,1
129,14,16154,"        0014 Senior managers - health, education, social and community services and membership organizations",860,88764,110751,Saskatchewan,4,1
130,14,16108,"        0014 Senior managers - health, education, social and community services and membership organizations",750,81384,92093,Nova Scotia / Nouvelle-…cosse,4,1
131,14,1680,"        0014 Senior managers - health, education, social and community services and membership organizations",135,66514,88521,Kingston,4,1
132,14,1640,"        0014 Senior managers - health, education, social and community services and membership organizations",155,80667,123524,Guelph,4,1
133,14,16164,"        0014 Senior managers - health, education, social and community services and membership organizations",130,92057,105504,Thunder Bay,4,1
134,14,16103,"        0014 Senior managers - health, education, social and community services and membership organizations",105,58925,114456,Moncton,4,1
135,14,16170,"        0014 Senior managers - health, education, social and community services and membership organizations",1935,93456,111708,Vancouver [1],4,1
136,14,16168,"        0014 Senior managers - health, education, social and community services and membership organizations",130,59881,65916,Trois-Rivières,4,1
137,14,16146,"        0014 Senior managers - health, education, social and community services and membership organizations",650,73302,85067,Québec,4,1
138,14,16138,"        0014 Senior managers - health, education, social and community services and membership organizations",365,77541,86727,Ottawa - Gatineau (partie du Québec / Quebec part),4,1
139,14,1612,"        0014 Senior managers - health, education, social and community services and membership organizations",125,65160,69113,Barrie,4,1
140,14,1650,"        0014 Senior managers - health, education, social and community services and membership organizations",450,93399,101582,Halifax,4,1
141,14,16,"        0014 Senior managers - health, education, social and community services and membership organizations",95,70291,90709,Abbotsford - Mission,4,1
142,14,16158,"        0014 Senior managers - health, education, social and community services and membership organizations",185,59083,75747,Sherbrooke,4,1
143,14,16162,"        0014 Senior managers - health, education, social and community services and membership organizations",245,98717,107501,St. John's,4,1
144,14,16166,"        0014 Senior managers - health, education, social and community services and membership organizations",4205,101561,135213,Toronto,4,1
145,14,16156,"        0014 Senior managers - health, education, social and community services and membership organizations",270,96112,114548,Saskatoon,4,1
146,14,16178,"        0014 Senior managers - health, education, social and community services and membership organizations",50,65131,77034,Yukon [1],4,1
147,14,16134,"        0014 Senior managers - health, education, social and community services and membership organizations",1375,98413,117708,Ottawa - Gatineau,4,1
148,14,1618,"        0014 Senior managers - health, education, social and community services and membership organizations",3335,85271,100145,British Columbia / Colombie-Britannique [1],4,1
149,14,16104,"        0014 Senior managers - health, education, social and community services and membership organizations",3175,70650,92607,Montréal [1],4,1
150,14,16160,"        0014 Senior managers - health, education, social and community services and membership organizations",320,85892,104186,St. Catharines - Niagara,4,1
151,14,1690,"        0014 Senior managers - health, education, social and community services and membership organizations",380,94006,122833,Kitchener - Cambridge - Waterloo,4,1
152,14,16152,"        0014 Senior managers - health, education, social and community services and membership organizations",85,62793,78169,Saint John,4,1
153,14,1660,"        0014 Senior managers - health, education, social and community services and membership organizations",620,99822,118990,Hamilton,4,1
154,15,1720,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1825,111349,296458,Calgary,4,0.6
155,15,17176,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",845,95566,209266,Winnipeg,4,0.6
156,15,1716,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",125,100302,126735,Brantford [1],4,0.6
157,15,1740,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",255,88006,134909,Guelph,4,0.6
158,15,17170,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",3845,78924,145801,Vancouver [1],4,0.6
159,15,17130,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",17520,98662,193895,Ontario [1],4,0.6
160,15,17132,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",365,115237,166207,Oshawa,4,0.6
161,15,17103,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",165,78317,111651,Moncton,4,0.6
162,15,17172,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",330,71217,111802,Victoria [1],4,0.6
163,15,17162,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",195,104521,279510,St. John's,4,0.6
164,15,1714,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",50,92495,116740,Belleville,4,0.6
165,15,17,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",155,82102,121496,Abbotsford - Mission,4,0.6
166,15,17164,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",80,55793,81368,Thunder Bay,4,0.6
167,15,17154,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",740,82622,151184,Saskatchewan,4,0.6
168,15,1730,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",115,52686,58524,Greater Sudbury / Grand Sudbury,4,0.6
169,15,17138,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",360,60073,110199,Ottawa - Gatineau (partie du Québec / Quebec part),4,0.6
170,15,17142,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",135,44462,41611,Prince Edward Island / Œle-du-Prince-…douard,4,0.6
171,15,1712,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",250,95415,110329,Barrie,4,0.6
172,15,17100,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",75,60839,109671,Lethbridge,4,0.6
173,15,1780,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",75,76229,102567,Kingston,4,0.6
174,15,17146,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1545,64728,98114,Québec,4,0.6
175,15,1760,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1205,103268,183978,Hamilton,4,0.6
176,15,17107,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",35,86100,81652,Northwest Territories / Territoires du Nord-Ouest [1],4,0.6
177,15,17109,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",15,122496,156855,Nunavut [1],4,0.6
178,15,17106,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",315,84561,216811,Newfoundland and Labrador / Terre-Neuve-et-Labrador,4,0.6
179,15,17156,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",270,110113,196847,Saskatoon,4,0.6
180,15,17150,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",290,60812,68851,Saguenay,4,0.6
181,15,17105,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",595,64041,100820,New Brunswick / Nouveau-Brunswick,4,0.6
182,15,17148,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",210,71445,117360,Regina,4,0.6
183,15,17144,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",17195,58487,117945,Quebec / QuÈbec [1],4,0.6
184,15,1710,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",3945,99784,244235,Alberta [1],4,0.6
185,15,17158,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",390,40186,82913,Sherbrooke,4,0.6
186,15,17140,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",95,64971,108321,Peterborough,4,0.6
187,15,1729,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1185,106767,224186,Edmonton,4,0.6
188,15,17178,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",65,63725,83126,Yukon [1],4,0.6
189,15,17136,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1025,78315,186292,Ottawa - Gatineau (Ontario part / partie de l'Ontario),4,0.6
190,15,17104,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",10325,64885,144280,Montréal [1],4,0.6
191,15,17168,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",210,53964,57414,Trois-Rivières,4,0.6
192,15,1718,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",5535,72283,130991,British Columbia / Colombie-Britannique [1],4,0.6
193,15,17166,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",10085,117022,230405,Toronto,4,0.6
194,15,1727,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",47890,76666,159981,Canada,4,0.6
195,15,17152,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",110,83010,134460,Saint John,4,0.6
196,15,17102,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1080,87947,183821,Manitoba,4,0.6
197,15,17108,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",725,77349,130288,Nova Scotia / Nouvelle-…cosse,4,0.6
198,15,17160,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",435,74859,151752,St. Catharines - Niagara,4,0.6
199,15,17134,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1390,72303,166416,Ottawa - Gatineau,4,0.6
200,15,1790,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",655,115533,160543,Kitchener - Cambridge - Waterloo,4,0.6
201,15,1770,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",245,60814,105348,Kelowna,4,0.6
202,15,1750,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",455,89267,147622,Halifax,4,0.6
203,15,17101,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",475,81150,124556,London,4,0.6
204,15,17174,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",235,91538,163739,Windsor,4,0.6
205,16,18107,"        0016 Senior managers - construction, transportation, production and utilities",65,151152,224626,Northwest Territories / Territoires du Nord-Ouest [1],4,1
206,16,18,"        0016 Senior managers - construction, transportation, production and utilities",225,100898,121611,Abbotsford - Mission,4,1
207,16,1814,"        0016 Senior managers - construction, transportation, production and utilities",90,97201,98300,Belleville,4,1
208,16,1870,"        0016 Senior managers - construction, transportation, production and utilities",310,69374,129048,Kelowna,4,1
209,16,1820,"        0016 Senior managers - construction, transportation, production and utilities",3970,198639,373375,Calgary,4,1
210,16,18130,"        0016 Senior managers - construction, transportation, production and utilities",19355,112871,217607,Ontario [1],4,1
211,16,18154,"        0016 Senior managers - construction, transportation, production and utilities",880,86458,182959,Saskatchewan,4,1
212,16,18103,"        0016 Senior managers - construction, transportation, production and utilities",150,92325,101395,Moncton,4,1
213,16,1840,"        0016 Senior managers - construction, transportation, production and utilities",345,133109,377418,Guelph,4,1
214,16,18170,"        0016 Senior managers - construction, transportation, production and utilities",4215,108940,190805,Vancouver [1],4,1
215,16,18132,"        0016 Senior managers - construction, transportation, production and utilities",395,119241,168258,Oshawa,4,1
216,16,1810,"        0016 Senior managers - construction, transportation, production and utilities",7670,164143,297829,Alberta [1],4,1
217,16,1890,"        0016 Senior managers - construction, transportation, production and utilities",1005,114151,169218,Kitchener - Cambridge - Waterloo,4,1
218,16,18109,"        0016 Senior managers - construction, transportation, production and utilities",20,125696,132291,Nunavut [1],4,1
219,16,18106,"        0016 Senior managers - construction, transportation, production and utilities",400,152209,446713,Newfoundland and Labrador / Terre-Neuve-et-Labrador,4,1
220,16,1830,"        0016 Senior managers - construction, transportation, production and utilities",160,120515,152558,Greater Sudbury / Grand Sudbury,4,1
221,16,18105,"        0016 Senior managers - construction, transportation, production and utilities",680,76648,94391,New Brunswick / Nouveau-Brunswick,4,1
222,16,1816,"        0016 Senior managers - construction, transportation, production and utilities",215,110321,128551,Brantford [1],4,1
223,16,18136,"        0016 Senior managers - construction, transportation, production and utilities",1210,111223,162387,Ottawa - Gatineau (Ontario part / partie de l'Ontario),4,1
224,16,18148,"        0016 Senior managers - construction, transportation, production and utilities",180,97194,276124,Regina,4,1
225,16,1827,"        0016 Senior managers - construction, transportation, production and utilities",56430,97691,190860,Canada,4,1
226,16,18144,"        0016 Senior managers - construction, transportation, production and utilities",18375,67218,122171,Quebec / QuÈbec [1],4,1
227,16,18138,"        0016 Senior managers - construction, transportation, production and utilities",400,52303,100612,Ottawa - Gatineau (partie du Québec / Quebec part),4,1
228,16,18176,"        0016 Senior managers - construction, transportation, production and utilities",1095,110421,231601,Winnipeg,4,1
229,16,18150,"        0016 Senior managers - construction, transportation, production and utilities",270,65915,79674,Saguenay,4,1
230,16,18104,"        0016 Senior managers - construction, transportation, production and utilities",9625,78063,147114,Montréal [1],4,1
231,16,18100,"        0016 Senior managers - construction, transportation, production and utilities",100,98026,109197,Lethbridge,4,1
232,16,1818,"        0016 Senior managers - construction, transportation, production and utilities",6460,97381,171074,British Columbia / Colombie-Britannique [1],4,1
233,16,18172,"        0016 Senior managers - construction, transportation, production and utilities",360,92632,120178,Victoria [1],4,1
234,16,18160,"        0016 Senior managers - construction, transportation, production and utilities",505,79701,158903,St. Catharines - Niagara,4,1
235,16,18166,"        0016 Senior managers - construction, transportation, production and utilities",9555,124481,258464,Toronto,4,1
236,16,18108,"        0016 Senior managers - construction, transportation, production and utilities",810,103232,220788,Nova Scotia / Nouvelle-…cosse,4,1
237,16,18162,"        0016 Senior managers - construction, transportation, production and utilities",240,193764,654247,St. John's,4,1
238,16,18178,"        0016 Senior managers - construction, transportation, production and utilities",30,126976,112796,Yukon [1],4,1
239,16,18134,"        0016 Senior managers - construction, transportation, production and utilities",1605,91261,147080,Ottawa - Gatineau,4,1
240,16,18101,"        0016 Senior managers - construction, transportation, production and utilities",600,97867,149374,London,4,1
241,16,18156,"        0016 Senior managers - construction, transportation, production and utilities",325,129622,238637,Saskatoon,4,1
242,16,18158,"        0016 Senior managers - construction, transportation, production and utilities",475,58366,91402,Sherbrooke,4,1
243,16,1880,"        0016 Senior managers - construction, transportation, production and utilities",135,101913,372565,Kingston,4,1
244,16,18140,"        0016 Senior managers - construction, transportation, production and utilities",140,85391,105120,Peterborough,4,1
245,16,18164,"        0016 Senior managers - construction, transportation, production and utilities",130,64824,138128,Thunder Bay,4,1
246,16,18174,"        0016 Senior managers - construction, transportation, production and utilities",365,148538,192795,Windsor,4,1
247,16,1850,"        0016 Senior managers - construction, transportation, production and utilities",460,131413,187319,Halifax,4,1
248,16,18102,"        0016 Senior managers - construction, transportation, production and utilities",1540,100214,197536,Manitoba,4,1
249,16,1829,"        0016 Senior managers - construction, transportation, production and utilities",1905,143658,232780,Edmonton,4,1
250,16,18152,"        0016 Senior managers - construction, transportation, production and utilities",80,110257,112679,Saint John,4,1
251,16,18168,"        0016 Senior managers - construction, transportation, production and utilities",330,62961,85262,Trois-Rivières,4,1
252,16,1812,"        0016 Senior managers - construction, transportation, production and utilities",275,111893,148898,Barrie,4,1
253,16,18146,"        0016 Senior managers - construction, transportation, production and utilities",1670,78966,113342,Québec,4,1
254,16,18142,"        0016 Senior managers - construction, transportation, production and utilities",160,71989,119128,Prince Edward Island / Œle-du-Prince-…douard,4,1
255,16,1860,"        0016 Senior managers - construction, transportation, production and utilities",1265,135493,214867,Hamilton,4,1
256,111,21106,        0111 Financial managers,705,80643,89507,Newfoundland and Labrador / Terre-Neuve-et-Labrador,4,1
257,111,2114,        0111 Financial managers,115,44252,61122,Belleville,4,1
258,111,2120,        0111 Financial managers,3700,109132,145088,Calgary,4,1
259,111,21107,        0111 Financial managers,140,104559,105852,Northwest Territories / Territoires du Nord-Ouest [1],4,1
260,111,21138,        0111 Financial managers,735,90175,93512,Ottawa - Gatineau (partie du Québec / Quebec part),4,1
261,111,21103,        0111 Financial managers,245,69759,74557,Moncton,4,1
262,111,21144,        0111 Financial managers,16195,81150,101241,Quebec / QuÈbec [1],4,1
263,111,21130,        0111 Financial managers,34005,88232,112384,Ontario [1],4,1
264,111,21,        0111 Financial managers,245,57670,65180,Abbotsford - Mission,4,1
265,111,21109,        0111 Financial managers,100,133376,132963,Nunavut [1],4,1
266,111,21166,        0111 Financial managers,20100,94129,128421,Toronto,4,1
267,111,21102,        0111 Financial managers,2080,75691,90601,Manitoba,4,1
268,111,21154,        0111 Financial managers,1830,78731,92810,Saskatchewan,4,1
269,111,21148,        0111 Financial managers,570,91655,97321,Regina,4,1
