"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Prince Edward Island i3",,
"14101 Receptionists","500","24,000","24,300"
"14102 Personnel clerks","85","56,800","51,000"
"14103 Court clerks and related court services occupations","25","0","52,000"
"1411 Survey, statistical and data entry occupations","340","25,800","28,800"
"14110 Survey interviewers and statistical clerks","95","17,200","29,600"
"14111 Data entry clerks","245","27,200","28,400"
"14112 Desktop publishing operators and related occupations","0","0","0"
"142 Financial, insurance and related administrative support workers","745","42,800","39,300"
"1420 Financial, insurance and related administrative support workers","745","42,800","39,300"
"14200 Accounting and related clerks","665","42,400","38,400"
"14201 Banking, insurance and other financial clerks","65","53,200","48,000"
"14202 Collection clerks","0","0","0"
"143 Library, correspondence and other clerks","70","36,800","33,000"
"1430 Library, correspondence and other clerks","70","36,800","33,000"
"14300 Library assistants and clerks","35","16,200","24,000"
"14301 Correspondence, publication and regulatory clerks","40","0","44,000"
"144 Supply chain logistics, tracking and scheduling coordination occupations","720","38,800","38,600"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","720","38,800","38,600"
"14400 Shippers and receivers","330","37,200","37,400"
"14401 Storekeepers and partspersons","130","45,600","40,000"
"14402 Production logistics workers","25","0","34,000"
"14403 Purchasing and inventory control workers","120","38,000","35,500"
"14404 Dispatchers","100","53,200","45,000"
"14405 Transportation route and crew schedulers","0","0","0"
"2 Natural and applied sciences and related occupations","4,995","58,800","61,400"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","365","93,000","92,800"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","365","93,000","92,800"
"2001 Managers in engineering, architecture, science and information systems","365","93,000","92,800"
"20010 Engineering managers","35","100,000","110,000"
"20011 Architecture and science managers","55","81,000","80,000"
"20012 Computer and information systems managers","275","93,000","93,000"
"21 Professional occupations in natural and applied sciences","2,585","62,800","66,800"
"211 Professional occupations in natural sciences","545","58,000","58,800"
"2110 Physical science professionals","160","58,000","53,200"
"21100 Physicists and astronomers","0","0","0"
"21101 Chemists","155","58,000","54,000"
"21102 Geoscientists and oceanographers","0","0","0"
"21103 Meteorologists and climatologists","0","0","0"
"21109 Other professional occupations in physical sciences","0","0","0"
"2111 Life science professionals","280","58,400","60,400"
"21110 Biologists and related scientists","220","58,400","60,800"
"21111 Forestry professionals","15","0","50,000"
"21112 Agricultural representatives, consultants and specialists","50","58,000","60,000"
"2112 Public and environmental health and safety professionals","105","57,200","63,000"
"21120 Public and environmental health and safety professionals","105","57,200","63,000"
"212 Professional occupations in applied sciences (except engineering)","1,480","64,000","65,700"
"2120 Architects, urban planners and land surveyors","90","60,000","60,000"
"21200 Architects","20","0","72,000"
"21201 Landscape architects","0","0","0"
"21202 Urban and land use planners","25","0","68,000"
"21203 Land surveyors","35","36,000","48,000"
"2121 Mathematicians, statisticians, actuaries and data scientists","25","0","72,000"
"21210 Mathematicians, statisticians and actuaries","0","0","0"
"21211 Data scientists","15","0","60,000"
"2122 Computer and information systems professionals","565","70,500","71,600"
"21220 Cybersecurity specialists","15","0","100,000"
"21221 Business systems specialists","80","67,000","67,000"
"21222 Information systems specialists","400","72,500","70,400"
"21223 Database analysts and data administrators","70","67,000","74,000"
"2123 Computer, software and Web designers and developers","800","59,600","62,100"
"21230 Computer systems developers and programmers","235","59,600","60,000"
"21231 Software engineers and designers","110","66,500","82,000"
"21232 Software developers and programmers","250","60,000","65,000"
"21233 Web designers","45","58,000","46,000"
"21234 Web developers and programmers","165","57,200","51,600"
"213 Professional occupations in engineering","560","71,000","77,600"
"2130 Civil and mechanical engineers","275","68,000","75,500"
"21300 Civil engineers","170","67,500","82,000"
"21301 Mechanical engineers","110","70,000","65,000"
"2131 Electrical, electronics and computer engineers","120","77,500","75,000"
"21310 Electrical and electronics engineers","60","56,400","76,000"
"21311 Computer engineers (except software engineers and designers)","55","79,000","74,000"
"2132 Manufacturing and processing engineers","85","72,500","80,000"
"21320 Chemical engineers","35","73,500","80,000"
"21321 Industrial and manufacturing engineers","50","71,000","80,000"
"21322 Metallurgical and materials engineers","0","0","0"
"2133 Natural resources engineers","0","0","0"
"21330 Mining engineers","0","0","0"
"21331 Geological engineers","0","0","0"
"21332 Petroleum engineers","0","0","0"
"2139 Other engineers","70","67,500","84,000"
"21390 Aerospace engineers","0","0","0"
"21399 Other professional engineers","55","77,500","96,000"
"22 Technical occupations related to natural and applied sciences","2,045","46,400","48,920"
"221 Technical occupations related to natural sciences","575","40,400","43,200"
"2210 Technical occupations in physical sciences","125","47,600","48,000"
"22100 Chemical technologists and technicians","120","47,600","47,000"
"22101 Geological and mineral technologists and technicians","0","0","0"
"2211 Technical occupations in life sciences","455","37,200","41,800"
"22110 Biological technologists and technicians","175","38,400","40,400"
"22111 Agricultural and fish products inspectors","55","63,600","52,000"
"22112 Forestry technologists and technicians","60","26,000","34,000"
"22113 Conservation and fishery officers","75","52,000","58,000"
"22114 Landscape and horticulture technicians and specialists","90","22,600","30,800"
"222 Technical occupations related to applied sciences (except engineering)","910","47,200","48,800"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","115","44,000","45,000"
"22210 Architectural technologists and technicians","25","0","34,000"
"22211 Industrial designers","0","0","0"
"22212 Drafting technologists and technicians","55","44,000","44,000"
"22213 Land survey technologists and technicians","0","0","0"
"22214 Technical occupations in geomatics and meteorology","30","62,000","56,000"
"2222 Technical occupations in computer and information systems","615","45,200","48,400"
"22220 Computer network and web technicians","220","54,400","54,400"
"22221 User support technicians","370","38,000","44,800"
"22222 Information systems testing technicians","25","0","44,000"
"2223 Technical inspectors and regulatory officers","175","58,000","52,800"
"22230 Non-destructive testers and inspectors","15","0","60,000"
"22231 Engineering inspectors and regulatory officers","20","0","60,000"
"22232 Occupational health and safety specialists","55","62,800","58,000"
"22233 Construction inspectors","85","55,200","47,000"
"223 Technical occupations related to engineering","560","48,800","55,000"
"2230 Technical occupations in civil, mechanical and industrial engineering","245","51,200","69,000"
"22300 Civil engineering technologists and technicians","60","56,800","52,000"
"22301 Mechanical engineering technologists and technicians","120","50,400","64,000"
"22302 Industrial engineering and manufacturing technologists and technicians","10","0","40,000"
"22303 Construction estimators","50","58,800","108,000"
"2231 Technical occupations in electronics and electrical engineering","315","42,000","44,000"
"22310 Electrical and electronics engineering technologists and technicians","105","45,200","51,000"
"22311 Electronic service technicians (household and business equipment)","180","36,800","38,400"
"22312 Industrial instrument technicians and mechanics","15","0","60,000"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","0","0","0"
"3 Health occupations","6,750","47,200","57,250"
"30 Specialized middle management occupations in health care","135","94,000","84,000"
"300 Specialized middle management occupations in health care","135","94,000","84,000"
"3001 Managers in health care","135","94,000","84,000"
"30010 Managers in health care","135","94,000","84,000"
"31 Professional occupations in health","2,885","75,500","83,400"
"311 Health treating and consultation services professionals","785","105,000","133,600"
"3110 Physicians and veterinarians","430","152,000","173,000"
"31100 Specialists in clinical and laboratory medicine","80","202,000","210,000"
"31101 Specialists in surgery","40","186,000","230,000"
"31102 General practitioners and family physicians","185","210,000","210,000"
"31103 Veterinarians","130","77,500","80,000"
"3111 Dentists, optometrists and audiologists","105","87,000","94,000"
"31110 Dentists","50","120,000","116,000"
"31111 Optometrists","25","0","68,000"
"31112 Audiologists and speech-language pathologists","35","87,000","80,000"
"3112 Pharmacists and dietitians","245","81,000","82,000"
"31120 Pharmacists","180","97,000","93,000"
"31121 Dietitians and nutritionists","65","51,200","54,000"
"312 Therapy and assessment professionals","280","63,200","63,200"
"3120 Therapy and assessment professionals","280","63,200","63,200"
"31200 Psychologists","50","105,000","100,000"
"31201 Chiropractors","25","0","64,000"
"31202 Physiotherapists","135","57,200","55,000"
"31203 Occupational therapists","45","66,500","64,000"
"31204 Kinesiologists and other professional occupations in therapy and assessment","0","0","0"
"31209 Other professional occupations in health diagnosing and treating","0","0","0"
"313 Nursing and allied health professionals","1,825","70,500","64,800"
"3130 Nursing and allied health professionals","1,825","70,500","64,800"
"31300 Nursing coordinators and supervisors","120","77,000","68,000"
"31301 Registered nurses and registered psychiatric nurses","1,655","69,500","63,500"
"31302 Nurse practitioners","50","103,000","104,000"
"31303 Physician assistants, midwives and allied health professionals","0","0","0"
"32 Technical occupations in health","1,485","46,000","44,120"
"321 Technical occupations in health (except practitioners of natural healing)","1,350","48,400","46,000"
"3210 Technical occupations in therapy and assessment","860","48,800","44,600"
"32100 Opticians","25","0","48,000"
"32101 Licensed practical nurses","455","46,800","41,600"
"32102 Paramedical occupations","160","60,000","60,000"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","30","67,000","60,000"
"32104 Animal health technologists and veterinary technicians","140","29,600","32,500"
"32109 Other technical occupations in therapy and assessment","45","48,400","42,000"
"3211 Technical occupations in dental health care","115","43,200","40,000"
"32110 Denturists","0","0","0"
"32111 Dental hygienists and dental therapists","105","41,200","38,500"
"32112 Dental technologists and technicians","0","0","0"
"3212 Medical technologists and technicians","375","54,000","51,000"
"32120 Medical laboratory technologists","105","69,000","59,000"
"32121 Medical radiation technologists","85","65,000","59,000"
"32122 Medical sonographers","20","0","80,000"
"32123 Cardiology technologists and electrophysiological diagnostic technologists","25","0","24,000"
"32124 Pharmacy technicians","120","38,000","40,000"
"32129 Other medical technologists and technicians","20","0","44,000"
"322 Practitioners of natural healing","135","24,200","25,600"
"3220 Practitioners of natural healing","135","24,200","25,600"
"32200 Traditional Chinese medicine practitioners and acupuncturists","0","0","0"
"32201 Massage therapists","115","29,400","28,400"
"32209 Other practitioners of natural healing","15","0","8,000"
"33 Assisting occupations in support of health services","2,240","31,400","30,720"
"331 Assisting occupations in support of health services","2,240","31,400","30,720"
"3310 Assisting occupations in support of health services","2,240","31,400","30,720"
"33100 Dental assistants and dental laboratory assistants","160","29,400","25,600"
"33101 Medical laboratory assistants and related technical occupations","70","48,800","48,000"
"33102 Nurse aides, orderlies and patient service associates","1,695","31,800","30,760"
"33103 Pharmacy technical assistants and pharmacy assistants","145","28,000","26,400"
"33109 Other assisting occupations in support of health services","175","29,800","31,200"
"4 Occupations in education, law and social, community and government services","10,100","47,600","54,100"
"40 Managers in public administration, in education and social and community services and in public protection services","685","88,000","85,800"
"400 Managers in public administration, in education and social and community services and in public protection services","685","88,000","85,800"
"4001 Managers in public administration","200","92,000","92,000"
"40010 Government managers - health and social policy development and program administration","70","92,000","96,000"
"40011 Government managers - economic analysis, policy development and program administration","90","89,000","88,000"
"40012 Government managers - education policy development and program administration","0","0","0"
"40019 Other managers in public administration","30","113,000","95,000"
"4002 Managers in education","190","110,000","107,000"
"40020 Administrators - post-secondary education and vocational training","40","88,000","104,000"
"40021 School principals and administrators of elementary and secondary education","150","111,000","108,000"
"4003 Managers in social, community and correctional services","225","60,000","71,000"
"40030 Managers in social, community and correctional services","225","60,000","71,000"
"4004 Managers in public protection services","70","54,800","60,000"
"40040 Commissioned police officers and related occupations in public protection services","0","0","0"
"40041 Fire chiefs and senior firefighting officers","0","0","0"
"40042 Commissioned officers of the Canadian Armed Forces","65","52,000","54,000"
"41 Professional occupations in law, education, social, community and government services","5,050","66,500","64,800"
"411 Professional occupations in law","280","96,000","113,000"
"4110 Judges, lawyers and Quebec notaries","280","96,000","113,000"
"41100 Judges","0","0","0"
"41101 Lawyers and Quebec notaries","270","95,000","107,000"
"412 Professional occupations in education services","3,010","70,000","62,150"
"4120 University professors and post-secondary assistants","710","34,800","62,100"
"41200 University professors and lecturers","290","129,000","113,000"
"41201 Post-secondary teaching and research assistants","420","13,500","27,200"
"4121 College and other vocational instructors","450","56,000","56,000"
"41210 College and other vocational instructors","450","56,000","56,000"
"4122 Secondary, elementary and kindergarten school teachers","1,850","77,000","63,650"
"41220 Secondary school teachers","585","81,000","68,000"
"41221 Elementary school and kindergarten teachers","1,270","74,000","61,600"
"413 Professional occupations in social and community services","675","59,200","56,300"
"4130 Social and community service professionals","465","59,600","55,400"
"41300 Social workers","165","74,000","68,000"
"41301 Therapists in counselling and related specialized therapies","90","65,000","59,000"
"41302 Religious leaders","210","43,200","43,200"
"4131 Police investigators and probation officers","25","0","72,000"
"41310 Police investigators and other investigative occupations","0","0","0"
"41311 Probation and parole officers","15","0","50,000"
"4132 Educational and employment counsellors","180","56,400","56,000"
"41320 Educational counsellors","110","59,200","55,000"
"41321 Career development practitioners and career counsellors (except education)","70","53,600","58,000"
"414 Professional occupations in government services","1,085","65,000","64,800"
"4140 Policy and program researchers, consultants and officers","1,085","65,000","64,800"
"41400 Natural and applied science policy researchers, consultants and program officers","100","52,800","50,000"
"41401 Economists and economic policy researchers and analysts","70","82,000","88,000"
"41402 Business development officers and market researchers and analysts","190","65,000","63,600"
"41403 Social policy researchers, consultants and program officers","345","62,800","61,400"
"41404 Health policy researchers, consultants and program officers","135","72,000","69,000"
"41405 Education policy researchers, consultants and program officers","115","72,500","71,000"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","30","0","60,000"
"41407 Program officers unique to government","85","62,400","72,000"
"41409 Other professional occupations in social science","15","0","45,000"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","2,690","36,800","40,600"
"421 Occupations in front-line public protection services","240","100,000","92,000"
"4210 Occupations in front-line public protection services","240","100,000","92,000"
"42100 Police officers (except commissioned)","220","102,000","94,000"
"42101 Firefighters","0","0","0"
"42102 Specialized members of the Canadian Armed Forces","0","0","0"
"422 Paraprofessional occupations in legal, social, community and education services","2,455","34,000","35,640"
"4220 Paraprofessional occupations in legal, social, community and education services","2,455","34,000","35,640"
"42200 Paralegals and related occupations","100","45,600","48,000"
"42201 Social and community service workers","1,210","44,400","44,600"
"42202 Early childhood educators and assistants","1,055","25,400","24,160"
"42203 Instructors of persons with disabilities","40","64,000","64,000"
"42204 Religion workers","50","11,100","15,200"
"43 Assisting occupations in education and in legal and public protection","1,100","34,800","34,800"
"431 Assisting occupations in educational","865","32,000","27,900"
"4310 Assisting occupations in education","865","32,000","27,900"
"43100 Elementary and secondary school teacher assistants","735","33,200","30,000"
"43109 Other instructors","130","8,100","15,600"
"432 Assisting occupations in legal and public protection","240","59,200","59,600"
"4320 Assisting occupations in legal and public protection","240","59,200","59,600"
"43200 Sheriffs and bailiffs","35","54,800","48,000"
"43201 Correctional service officers","70","73,000","72,000"
"43202 By-law enforcement and other regulatory officers","40","41,600","52,000"
"43203 Border services, customs, and immigration officers","30","0","38,000"
"43204 Operations members of the Canadian Armed Forces","70","62,800","64,000"
"44 Care providers and legal and public protection support occupations","545","16,600","23,200"
"441 Home care provider occupations","510","16,000","22,900"
"4410 Home care provider occupations","510","16,000","22,900"
"44100 Home child care providers","205","10,900","17,600"
"44101 Home support workers, caregivers and related occupations","310","23,600","26,200"
"442 Primary combat members of the Canadian Armed Forces","35","24,400","28,000"
"4420 Primary combat members of the Canadian Armed Forces","35","24,400","28,000"
"44200 Primary combat members of the Canadian Armed Forces","35","24,400","28,000"
"45 Student monitors, crossing guards and related occupations","25","0","11,000"
"451 Student monitors, crossing guards and related occupations","25","0","11,000"
"4510 Student monitors, crossing guards and related occupations","25","0","11,000"
"45100 Student monitors, crossing guards and related occupations","25","0","11,000"
"5 Occupations in art, culture, recreation and sport","1,900","15,400","28,920"
"50 Specialized middle management occupations in art, culture, recreation and sport","110","51,600","44,000"
"500 Specialized middle management occupations in art, culture, recreation and sport","110","51,600","44,000"
"5001 Managers in art, culture, recreation and sport","110","51,600","44,000"
"50010 Library, archive, museum and art gallery managers","30","0","48,000"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","20","0","44,000"
"50012 Recreation, sports and fitness program and service directors","60","51,600","42,000"
"51 Professional occupations in art and culture","460","26,400","33,800"
"511 Professional occupations in art and culture","460","26,400","33,800"
"5110 Librarians, archivists, conservators and curators","45","58,000","54,000"
"51100 Librarians","30","0","64,000"
"51101 Conservators and curators","0","0","0"
"51102 Archivists","0","0","0"
"5111 Writing, translating and related communications professionals","250","25,800","31,200"
"51110 Editors","40","35,600","40,000"
"51111 Authors and writers (except technical)","95","3,920","19,200"
"51112 Technical writers","25","0","60,000"
"51113 Journalists","70","27,400","31,000"
"51114 Translators, terminologists and interpreters","15","0","36,000"
"5112 Creative and performing artists","165","23,800","31,400"
"51120 Producers, directors, choreographers and related occupations","45","44,800","60,000"
"51121 Conductors, composers and arrangers","25","0","26,000"
"51122 Musicians and singers","95","11,400","18,000"
"52 Technical occupations in art, culture and sport","470","39,200","45,800"
"521 Technical occupations in art and culture","470","39,200","45,800"
"5210 Technical occupations in libraries and public archives","50","42,000","33,000"
"52100 Library and public archive technicians","50","42,000","33,000"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","190","47,200","52,800"
"52110 Film and video camera operators","25","0","26,000"
"52111 Graphic arts technicians","35","47,200","56,000"
"52112 Broadcast technicians","0","0","0"
"52113 Audio and video recording technicians","35","4,240","15,000"
"52114 Announcers and other broadcasters","20","0","64,000"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","75","79,500","74,000"
"5212 Graphic and interior designers","225","35,600","42,800"
"52120 Graphic designers and illustrators","200","36,000","44,400"
"52121 Interior designers and interior decorators","20","0","30,000"
"53 Occupations in art, culture and sport","440","6,400","16,600"
"531 Occupations in art and culture","340","5,240","12,200"
"5310 Occupations related to museums and art galleries","60","5,520","10,800"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","60","5,520","10,800"
"5311 Photographers and support occupations in arts and culture","75","5,400","7,000"
"53110 Photographers","55","5,280","4,800"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","20","0","14,000"
"5312 Occupations in creative and performing art","205","5,200","14,500"
"53120 Dancers","35","1,560","12,000"
"53121 Actors, comedians and circus performers","0","0","0"
"53122 Painters, sculptors and other visual artists","40","15,400","25,000"
"53123 Theatre, fashion, exhibit and other creative designers","0","0","0"
"53124 Artisans and craftspersons","105","5,200","12,800"
"53125 Patternmakers - textile, leather and fur products","0","0","0"
"532 Occupations in sports","100","9,500","31,600"
"5320 Athletes, coaches, referees and related occupations","100","9,500","31,600"
"53200 Athletes","0","0","0"
"53201 Coaches","80","15,000","39,000"
"53202 Sports officials and referees","0","0","0"
"54 Support occupations in sport","415","7,000","13,350"
"541 Support occupations in sport","415","7,000","13,350"
"5410 Program leaders and instructors in recreation, sport and fitness","415","7,000","13,350"
"54100 Program leaders and instructors in recreation, sport and fitness","415","7,000","13,350"
"55 Support occupations in art and culture","0","0","0"
"551 Support occupations in art and culture","0","0","0"
"5510 Support occupations in art and culture","0","0","0"
"55109 Other performers","0","0","0"
"6 Sales and service occupations","19,370","19,400","26,440"
"60 Middle management occupations in retail and wholesale trade and customer services","2,720","40,800","49,000"
"600 Middle management occupations in retail and wholesale trade and customer services","2,720","40,800","49,000"
"6001 Corporate sales managers","100","79,500","90,000"
"60010 Corporate sales managers","100","79,500","90,000"
"6002 Retail and wholesale trade managers","1,680","46,000","52,350"
"60020 Retail and wholesale trade managers","1,680","46,000","52,350"
"6003 Managers in food service and accommodation","830","26,200","36,900"
"60030 Restaurant and food service managers","600","29,200","38,200"
"60031 Accommodation service managers","230","20,600","33,600"
"6004 Managers in customer and personal services","110","30,000","51,000"
"60040 Managers in customer and personal services","110","30,000","51,000"
"62 Retail sales and service supervisors and specialized occupations in sales and services","1,450","26,000","30,760"
"620 Retail sales and service supervisors","885","25,800","28,300"
"6201 Retail sales supervisors","285","24,600","25,200"
"62010 Retail sales supervisors","285","24,600","25,200"
"6202 Service supervisors","600","26,000","29,800"
"62020 Food service supervisors","375","22,800","27,900"
"62021 Executive housekeepers","25","0","28,000"
"62022 Accommodation, travel, tourism and related services supervisors","25","0","30,000"
"62023 Customer and information services supervisors","80","39,600","42,000"
"62024 Cleaning supervisors","60","21,600","25,000"
"62029 Other services supervisors","35","26,000","34,000"
"621 Specialized sales occupations","225","29,400","43,600"
"6210 Technical sales specialists in wholesale trade and retail and wholesale buyers","225","29,400","43,600"
"62100 Technical sales specialists - wholesale trade","85","65,500","71,000"
"62101 Retail and wholesale buyers","140","18,200","27,600"
"622 Specialized services occupations","340","23,400","28,600"
"6220 Specialized occupations in services","340","23,400","28,600"
"62200 Chefs","310","22,600","26,200"
"62201 Funeral directors and embalmers","30","50,800","56,000"
"62202 Jewellers, jewellery and watch repairers and related occupations","0","0","0"
"63 Occupations in sales and services","2,350","21,200","27,400"
"631 Occupations in sales","560","40,000","49,000"
"6310 Insurance, real estate and financial sales occupations","560","40,000","49,000"
"63100 Insurance agents and brokers","175","40,400","57,200"
"63101 Real estate agents and salespersons","210","27,200","36,000"
"63102 Financial sales representatives","170","51,200","56,400"
"632 Occupations in services","1,790","18,400","20,660"
"6320 Cooks, butchers and bakers","1,180","20,600","22,240"
"63200 Cooks","890","19,200","20,800"
"63201 Butchers - retail and wholesale","45","34,400","36,000"
"63202 Bakers","245","22,200","25,000"
"6321 Hairstylists and estheticians","605","13,900","17,400"
"63210 Hairstylists and barbers","395","12,800","17,100"
"63211 Estheticians, electrologists and related occupations","205","15,400","18,000"
"6322 Shoe repairers, shoemakers and upholsterers","0","0","0"
"63220 Shoe repairers and shoemakers","0","0","0"
"63221 Upholsterers","0","0","0"
"64 Sales and service representatives and other customer and personal services occupations","5,070","20,800","26,560"
"641 Retail salespersons and non-technical wholesale trade sales and account representatives","2,695","18,800","26,960"
"6410 Retail salespersons and non-technical wholesale trade sales and account representatives","2,695","18,800","26,960"
"64100 Retail salespersons and visual merchandisers","2,580","18,600","26,000"
"64101 Sales and account representatives - wholesale trade (non-technical)","120","46,400","48,000"
"642 Occupations in personal service","45","6,850","13,600"
"6420 Occupations in personal service","45","6,850","13,600"
"64200 Tailors, dressmakers, furriers and milliners","30","0","14,000"
"64201 Image, social and other personal consultants","0","0","0"
"643 Occupations in food, accommodation and tourism","530","12,100","16,500"
"6430 Occupations in food and beverage service","230","10,100","12,300"
"64300 Maîtres d'hôtel and hosts/hostesses","90","6,700","7,300"
