"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Yukon i12",,
"1411 Survey, statistical and data entry occupations","100","30,200","29,200"
"14110 Survey interviewers and statistical clerks","40","5,360","12,000"
"14111 Data entry clerks","65","31,000","39,000"
"14112 Desktop publishing operators and related occupations","0","0","0"
"142 Financial, insurance and related administrative support workers","265","61,600","58,000"
"1420 Financial, insurance and related administrative support workers","265","61,600","58,000"
"14200 Accounting and related clerks","260","61,600","58,000"
"14201 Banking, insurance and other financial clerks","0","0","0"
"14202 Collection clerks","0","0","0"
"143 Library, correspondence and other clerks","70","42,000","48,000"
"1430 Library, correspondence and other clerks","70","42,000","48,000"
"14300 Library assistants and clerks","25","19,200","18,000"
"14301 Correspondence, publication and regulatory clerks","35","77,000","72,000"
"144 Supply chain logistics, tracking and scheduling coordination occupations","210","59,200","65,000"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","210","59,200","65,000"
"14400 Shippers and receivers","50","44,000","39,000"
"14401 Storekeepers and partspersons","80","46,400","54,000"
"14402 Production logistics workers","25","0","60,000"
"14403 Purchasing and inventory control workers","0","0","0"
"14404 Dispatchers","35","111,000","120,000"
"14405 Transportation route and crew schedulers","0","0","0"
"2 Natural and applied sciences and related occupations","1,670","80,000","80,800"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","75","113,000","112,000"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","75","113,000","112,000"
"2001 Managers in engineering, architecture, science and information systems","75","113,000","112,000"
"20010 Engineering managers","15","0","100,000"
"20011 Architecture and science managers","20","0","110,000"
"20012 Computer and information systems managers","40","113,000","110,000"
"21 Professional occupations in natural and applied sciences","865","84,000","85,400"
"211 Professional occupations in natural sciences","300","85,000","92,000"
"2110 Physical science professionals","90","70,000","114,000"
"21100 Physicists and astronomers","0","0","0"
"21101 Chemists","0","0","0"
"21102 Geoscientists and oceanographers","90","70,000","114,000"
"21103 Meteorologists and climatologists","0","0","0"
"21109 Other professional occupations in physical sciences","0","0","0"
"2111 Life science professionals","150","94,000","88,000"
"21110 Biologists and related scientists","130","93,000","90,000"
"21111 Forestry professionals","15","0","90,000"
"21112 Agricultural representatives, consultants and specialists","0","0","0"
"2112 Public and environmental health and safety professionals","60","64,500","70,000"
"21120 Public and environmental health and safety professionals","60","64,500","70,000"
"212 Professional occupations in applied sciences (except engineering)","380","82,000","82,400"
"2120 Architects, urban planners and land surveyors","135","86,000","73,000"
"21200 Architects","35","0","52,000"
"21201 Landscape architects","0","0","0"
"21202 Urban and land use planners","65","76,000","76,000"
"21203 Land surveyors","45","93,000","84,000"
"2121 Mathematicians, statisticians, actuaries and data scientists","0","0","0"
"21210 Mathematicians, statisticians and actuaries","0","0","0"
"21211 Data scientists","0","0","0"
"2122 Computer and information systems professionals","155","84,000","94,000"
"21220 Cybersecurity specialists","0","0","0"
"21221 Business systems specialists","20","0","72,000"
"21222 Information systems specialists","85","86,000","86,000"
"21223 Database analysts and data administrators","45","82,000","120,000"
"2123 Computer, software and Web designers and developers","85","67,000","76,000"
"21230 Computer systems developers and programmers","10","0","70,000"
"21231 Software engineers and designers","20","0","90,000"
"21232 Software developers and programmers","35","61,600","76,000"
"21233 Web designers","0","0","0"
"21234 Web developers and programmers","15","0","60,000"
"213 Professional occupations in engineering","185","88,000","81,000"
"2130 Civil and mechanical engineers","145","88,000","82,000"
"21300 Civil engineers","115","88,000","86,000"
"21301 Mechanical engineers","30","0","64,000"
"2131 Electrical, electronics and computer engineers","20","0","85,000"
"21310 Electrical and electronics engineers","15","0","80,000"
"21311 Computer engineers (except software engineers and designers)","0","0","0"
"2132 Manufacturing and processing engineers","0","0","0"
"21320 Chemical engineers","0","0","0"
"21321 Industrial and manufacturing engineers","0","0","0"
"21322 Metallurgical and materials engineers","0","0","0"
"2133 Natural resources engineers","20","0","70,000"
"21330 Mining engineers","10","0","70,000"
"21331 Geological engineers","0","0","0"
"21332 Petroleum engineers","0","0","0"
"2139 Other engineers","0","0","0"
"21390 Aerospace engineers","0","0","0"
"21399 Other professional engineers","0","0","0"
"22 Technical occupations related to natural and applied sciences","730","74,000","72,200"
"221 Technical occupations related to natural sciences","190","70,500","69,000"
"2210 Technical occupations in physical sciences","50","80,000","74,000"
"22100 Chemical technologists and technicians","0","0","0"
"22101 Geological and mineral technologists and technicians","40","80,000","76,000"
"2211 Technical occupations in life sciences","145","69,000","67,000"
"22110 Biological technologists and technicians","50","67,000","58,000"
"22111 Agricultural and fish products inspectors","0","0","0"
"22112 Forestry technologists and technicians","25","0","40,000"
"22113 Conservation and fishery officers","55","98,000","84,000"
"22114 Landscape and horticulture technicians and specialists","15","0","60,000"
"222 Technical occupations related to applied sciences (except engineering)","375","76,000","72,000"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","90","85,000","78,000"
"22210 Architectural technologists and technicians","0","0","0"
"22211 Industrial designers","0","0","0"
"22212 Drafting technologists and technicians","25","0","80,000"
"22213 Land survey technologists and technicians","0","0","0"
"22214 Technical occupations in geomatics and meteorology","50","82,000","78,000"
"2222 Technical occupations in computer and information systems","155","75,000","69,000"
"22220 Computer network and web technicians","115","81,000","74,000"
"22221 User support technicians","40","65,000","54,000"
"22222 Information systems testing technicians","0","0","0"
"2223 Technical inspectors and regulatory officers","130","75,500","72,000"
"22230 Non-destructive testers and inspectors","0","0","0"
"22231 Engineering inspectors and regulatory officers","0","0","0"
"22232 Occupational health and safety specialists","80","67,500","66,000"
"22233 Construction inspectors","35","86,000","76,000"
"223 Technical occupations related to engineering","165","73,000","76,500"
"2230 Technical occupations in civil, mechanical and industrial engineering","75","83,000","84,000"
"22300 Civil engineering technologists and technicians","50","69,500","68,000"
"22301 Mechanical engineering technologists and technicians","0","0","0"
"22302 Industrial engineering and manufacturing technologists and technicians","0","0","0"
"22303 Construction estimators","20","0","100,000"
"2231 Technical occupations in electronics and electrical engineering","85","67,000","71,000"
"22310 Electrical and electronics engineering technologists and technicians","25","0","76,000"
"22311 Electronic service technicians (household and business equipment)","65","67,000","70,000"
"22312 Industrial instrument technicians and mechanics","0","0","0"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","0","0","0"
"3 Health occupations","1,520","79,000","80,000"
"30 Specialized middle management occupations in health care","50","104,000","108,000"
"300 Specialized middle management occupations in health care","50","104,000","108,000"
"3001 Managers in health care","50","104,000","108,000"
"30010 Managers in health care","50","104,000","108,000"
"31 Professional occupations in health","740","91,000","99,400"
"311 Health treating and consultation services professionals","215","104,000","127,000"
"3110 Physicians and veterinarians","95","131,000","156,000"
"31100 Specialists in clinical and laboratory medicine","15","0","360,000"
"31101 Specialists in surgery","0","0","0"
"31102 General practitioners and family physicians","50","100,000","128,000"
"31103 Veterinarians","25","0","95,000"
"3111 Dentists, optometrists and audiologists","55","99,000","104,000"
"31110 Dentists","0","0","0"
"31111 Optometrists","0","0","0"
"31112 Audiologists and speech-language pathologists","35","42,800","52,000"
"3112 Pharmacists and dietitians","65","113,000","100,000"
"31120 Pharmacists","50","135,000","112,000"
"31121 Dietitians and nutritionists","15","0","60,000"
"312 Therapy and assessment professionals","100","91,000","86,000"
"3120 Therapy and assessment professionals","100","91,000","86,000"
"31200 Psychologists","30","125,000","120,000"
"31201 Chiropractors","0","0","0"
"31202 Physiotherapists","20","0","72,000"
"31203 Occupational therapists","20","0","60,000"
"31204 Kinesiologists and other professional occupations in therapy and assessment","0","0","0"
"31209 Other professional occupations in health diagnosing and treating","0","0","0"
"313 Nursing and allied health professionals","425","89,000","88,400"
"3130 Nursing and allied health professionals","425","89,000","88,400"
"31300 Nursing coordinators and supervisors","15","0","100,000"
"31301 Registered nurses and registered psychiatric nurses","395","89,000","87,600"
"31302 Nurse practitioners","10","0","160,000"
"31303 Physician assistants, midwives and allied health professionals","0","0","0"
"32 Technical occupations in health","390","60,800","62,800"
"321 Technical occupations in health (except practitioners of natural healing)","330","67,000","66,800"
"3210 Technical occupations in therapy and assessment","235","74,000","69,500"
"32100 Opticians","0","0","0"
"32101 Licensed practical nurses","95","88,000","78,000"
"32102 Paramedical occupations","60","74,500","76,000"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","0","0","0"
"32104 Animal health technologists and veterinary technicians","30","0","44,000"
"32109 Other technical occupations in therapy and assessment","40","62,000","56,000"
"3211 Technical occupations in dental health care","25","0","40,000"
"32110 Denturists","0","0","0"
"32111 Dental hygienists and dental therapists","20","0","44,000"
"32112 Dental technologists and technicians","0","0","0"
"3212 Medical technologists and technicians","65","78,500","64,000"
"32120 Medical laboratory technologists","0","0","0"
"32121 Medical radiation technologists","15","0","100,000"
"32122 Medical sonographers","0","0","0"
"32123 Cardiology technologists and electrophysiological diagnostic technologists","0","0","0"
"32124 Pharmacy technicians","35","31,000","44,000"
"32129 Other medical technologists and technicians","0","0","0"
"322 Practitioners of natural healing","65","38,000","44,000"
"3220 Practitioners of natural healing","65","38,000","44,000"
"32200 Traditional Chinese medicine practitioners and acupuncturists","0","0","0"
"32201 Massage therapists","50","37,200","33,000"
"32209 Other practitioners of natural healing","0","0","0"
"33 Assisting occupations in support of health services","340","54,000","53,400"
"331 Assisting occupations in support of health services","340","54,000","53,400"
"3310 Assisting occupations in support of health services","340","54,000","53,400"
"33100 Dental assistants and dental laboratory assistants","50","34,000","36,000"
"33101 Medical laboratory assistants and related technical occupations","20","0","45,000"
"33102 Nurse aides, orderlies and patient service associates","215","66,500","62,400"
"33103 Pharmacy technical assistants and pharmacy assistants","25","0","26,000"
"33109 Other assisting occupations in support of health services","35","54,400","48,000"
"4 Occupations in education, law and social, community and government services","4,385","77,500","75,100"
"40 Managers in public administration, in education and social and community services and in public protection services","390","114,000","108,800"
"400 Managers in public administration, in education and social and community services and in public protection services","390","114,000","108,800"
"4001 Managers in public administration","150","122,000","122,000"
"40010 Government managers - health and social policy development and program administration","55","125,000","128,000"
"40011 Government managers - economic analysis, policy development and program administration","55","140,000","128,000"
"40012 Government managers - education policy development and program administration","10","0","100,000"
"40019 Other managers in public administration","30","112,000","100,000"
"4002 Managers in education","105","130,000","122,000"
"40020 Administrators - post-secondary education and vocational training","20","0","85,000"
"40021 School principals and administrators of elementary and secondary education","85","134,000","132,000"
"4003 Managers in social, community and correctional services","110","76,500","82,000"
"40030 Managers in social, community and correctional services","110","76,500","82,000"
"4004 Managers in public protection services","25","108,000","95,000"
"40040 Commissioned police officers and related occupations in public protection services","0","0","0"
"40041 Fire chiefs and senior firefighting officers","15","0","80,000"
"40042 Commissioned officers of the Canadian Armed Forces","0","0","0"
"41 Professional occupations in law, education, social, community and government services","2,220","90,000","81,700"
"411 Professional occupations in law","115","112,000","118,000"
"4110 Judges, lawyers and Quebec notaries","115","112,000","118,000"
"41100 Judges","0","0","0"
"41101 Lawyers and Quebec notaries","110","104,000","110,000"
"412 Professional occupations in education services","860","92,000","78,600"
"4120 University professors and post-secondary assistants","130","70,500","58,000"
"41200 University professors and lecturers","75","80,000","74,000"
"41201 Post-secondary teaching and research assistants","55","13,900","38,000"
"4121 College and other vocational instructors","85","82,000","66,000"
"41210 College and other vocational instructors","85","82,000","66,000"
"4122 Secondary, elementary and kindergarten school teachers","640","94,000","84,400"
"41220 Secondary school teachers","210","99,000","90,000"
"41221 Elementary school and kindergarten teachers","430","94,000","82,400"
"413 Professional occupations in social and community services","395","86,000","80,000"
"4130 Social and community service professionals","320","83,000","77,200"
"41300 Social workers","200","90,000","83,000"
"41301 Therapists in counselling and related specialized therapies","80","71,500","72,000"
"41302 Religious leaders","40","68,500","60,000"
"4131 Police investigators and probation officers","35","0","90,000"
"41310 Police investigators and other investigative occupations","15","0","100,000"
"41311 Probation and parole officers","20","0","90,000"
"4132 Educational and employment counsellors","40","105,000","90,000"
"41320 Educational counsellors","35","106,000","95,000"
"41321 Career development practitioners and career counsellors (except education)","0","0","0"
"414 Professional occupations in government services","845","88,000","80,800"
"4140 Policy and program researchers, consultants and officers","845","88,000","80,800"
"41400 Natural and applied science policy researchers, consultants and program officers","215","89,000","84,000"
"41401 Economists and economic policy researchers and analysts","55","101,000","100,000"
"41402 Business development officers and market researchers and analysts","70","95,000","96,000"
"41403 Social policy researchers, consultants and program officers","200","78,500","71,500"
"41404 Health policy researchers, consultants and program officers","75","80,000","76,000"
"41405 Education policy researchers, consultants and program officers","100","88,000","84,000"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","35","51,200","56,000"
"41407 Program officers unique to government","75","104,000","84,000"
"41409 Other professional occupations in social science","20","71,000","72,000"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","1,065","49,200","59,700"
"421 Occupations in front-line public protection services","210","121,000","108,000"
"4210 Occupations in front-line public protection services","210","121,000","108,000"
"42100 Police officers (except commissioned)","150","126,000","112,000"
"42101 Firefighters","65","74,500","100,000"
"42102 Specialized members of the Canadian Armed Forces","0","0","0"
"422 Paraprofessional occupations in legal, social, community and education services","850","42,800","47,600"
"4220 Paraprofessional occupations in legal, social, community and education services","850","42,800","47,600"
"42200 Paralegals and related occupations","30","74,000","72,000"
"42201 Social and community service workers","450","56,400","56,200"
"42202 Early childhood educators and assistants","335","36,000","34,800"
"42203 Instructors of persons with disabilities","0","0","0"
"42204 Religion workers","20","0","22,000"
"43 Assisting occupations in education and in legal and public protection","480","56,400","57,600"
"431 Assisting occupations in educational","290","45,600","42,800"
"4310 Assisting occupations in education","290","45,600","42,800"
"43100 Elementary and secondary school teacher assistants","260","49,200","46,000"
"43109 Other instructors","25","3,480","13,000"
"432 Assisting occupations in legal and public protection","195","85,000","79,000"
"4320 Assisting occupations in legal and public protection","195","85,000","79,000"
"43200 Sheriffs and bailiffs","0","0","0"
"43201 Correctional service officers","65","92,000","74,000"
"43202 By-law enforcement and other regulatory officers","55","84,000","80,000"
"43203 Border services, customs, and immigration officers","50","86,000","78,000"
"43204 Operations members of the Canadian Armed Forces","0","0","0"
"44 Care providers and legal and public protection support occupations","225","71,000","60,400"
"441 Home care provider occupations","225","71,000","60,400"
"4410 Home care provider occupations","225","71,000","60,400"
"44100 Home child care providers","25","0","20,000"
"44101 Home support workers, caregivers and related occupations","200","77,500","65,500"
"442 Primary combat members of the Canadian Armed Forces","0","0","0"
"4420 Primary combat members of the Canadian Armed Forces","0","0","0"
"44200 Primary combat members of the Canadian Armed Forces","0","0","0"
"45 Student monitors, crossing guards and related occupations","0","0","0"
"451 Student monitors, crossing guards and related occupations","0","0","0"
"4510 Student monitors, crossing guards and related occupations","0","0","0"
"45100 Student monitors, crossing guards and related occupations","0","0","0"
"5 Occupations in art, culture, recreation and sport","785","30,800","36,500"
"50 Specialized middle management occupations in art, culture, recreation and sport","80","67,500","60,000"
"500 Specialized middle management occupations in art, culture, recreation and sport","80","67,500","60,000"
"5001 Managers in art, culture, recreation and sport","80","67,500","60,000"
"50010 Library, archive, museum and art gallery managers","25","62,400","60,000"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","20","0","50,000"
"50012 Recreation, sports and fitness program and service directors","35","67,500","64,000"
"51 Professional occupations in art and culture","185","40,000","40,400"
"511 Professional occupations in art and culture","185","40,000","40,400"
"5110 Librarians, archivists, conservators and curators","40","54,400","52,000"
"51100 Librarians","30","52,000","56,000"
"51101 Conservators and curators","0","0","0"
"51102 Archivists","0","0","0"
"5111 Writing, translating and related communications professionals","85","47,600","48,000"
"51110 Editors","0","0","0"
"51111 Authors and writers (except technical)","20","0","12,000"
"51112 Technical writers","0","0","0"
"51113 Journalists","25","0","72,000"
"51114 Translators, terminologists and interpreters","15","0","36,000"
"5112 Creative and performing artists","55","18,400","20,000"
"51120 Producers, directors, choreographers and related occupations","25","30,800","26,000"
"51121 Conductors, composers and arrangers","10","0","20,000"
"51122 Musicians and singers","20","0","14,000"
"52 Technical occupations in art, culture and sport","150","34,400","44,000"
"521 Technical occupations in art and culture","150","34,400","44,000"
"5210 Technical occupations in libraries and public archives","0","0","0"
"52100 Library and public archive technicians","0","0","0"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","50","45,600","62,000"
"52110 Film and video camera operators","0","0","0"
"52111 Graphic arts technicians","0","0","0"
"52112 Broadcast technicians","0","0","0"
"52113 Audio and video recording technicians","0","0","0"
"52114 Announcers and other broadcasters","0","0","0"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","30","99,000","80,000"
"5212 Graphic and interior designers","85","31,000","35,000"
"52120 Graphic designers and illustrators","85","31,000","35,000"
"52121 Interior designers and interior decorators","0","0","0"
"53 Occupations in art, culture and sport","195","23,600","31,000"
"531 Occupations in art and culture","175","20,400","29,200"
"5310 Occupations related to museums and art galleries","50","31,600","35,000"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","50","31,600","35,000"
"5311 Photographers and support occupations in arts and culture","40","3,160","36,000"
"53110 Photographers","30","3,160","36,000"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","0","0","0"
"5312 Occupations in creative and performing art","90","20,200","22,800"
"53120 Dancers","0","0","0"
"53121 Actors, comedians and circus performers","0","0","0"
"53122 Painters, sculptors and other visual artists","40","13,900","22,000"
"53123 Theatre, fashion, exhibit and other creative designers","0","0","0"
"53124 Artisans and craftspersons","35","21,800","32,000"
"53125 Patternmakers - textile, leather and fur products","0","0","0"
"532 Occupations in sports","0","0","0"
"5320 Athletes, coaches, referees and related occupations","0","0","0"
"53200 Athletes","0","0","0"
"53201 Coaches","0","0","0"
"53202 Sports officials and referees","0","0","0"
"54 Support occupations in sport","175","13,200","21,000"
"541 Support occupations in sport","175","13,200","21,000"
"5410 Program leaders and instructors in recreation, sport and fitness","175","13,200","21,000"
"54100 Program leaders and instructors in recreation, sport and fitness","175","13,200","21,000"
"55 Support occupations in art and culture","0","0","0"
"551 Support occupations in art and culture","0","0","0"
"5510 Support occupations in art and culture","0","0","0"
"55109 Other performers","0","0","0"
"6 Sales and service occupations","4,655","32,400","41,360"
"60 Middle management occupations in retail and wholesale trade and customer services","650","64,500","64,000"
"600 Middle management occupations in retail and wholesale trade and customer services","650","64,500","64,000"
"6001 Corporate sales managers","15","0","70,000"
"60010 Corporate sales managers","15","0","70,000"
"6002 Retail and wholesale trade managers","395","69,000","76,000"
"60020 Retail and wholesale trade managers","395","69,000","76,000"
"6003 Managers in food service and accommodation","225","49,200","44,000"
"60030 Restaurant and food service managers","130","49,600","42,000"
"60031 Accommodation service managers","90","41,600","48,000"
"6004 Managers in customer and personal services","20","0","36,000"
"60040 Managers in customer and personal services","20","0","36,000"
"62 Retail sales and service supervisors and specialized occupations in sales and services","245","44,000","50,400"
"620 Retail sales and service supervisors","135","44,000","50,000"
"6201 Retail sales supervisors","45","50,000","54,000"
"62010 Retail sales supervisors","45","50,000","54,000"
"6202 Service supervisors","90","40,800","48,000"
"62020 Food service supervisors","50","37,200","40,000"
"62021 Executive housekeepers","0","0","0"
"62022 Accommodation, travel, tourism and related services supervisors","0","0","0"
"62023 Customer and information services supervisors","0","0","0"
"62024 Cleaning supervisors","15","0","60,000"
"62029 Other services supervisors","0","0","0"
"621 Specialized sales occupations","35","65,000","80,000"
"6210 Technical sales specialists in wholesale trade and retail and wholesale buyers","35","65,000","80,000"
"62100 Technical sales specialists - wholesale trade","30","0","90,000"
"62101 Retail and wholesale buyers","0","0","0"
"622 Specialized services occupations","70","40,400","36,000"
"6220 Specialized occupations in services","70","40,400","36,000"
"62200 Chefs","50","40,400","38,000"
"62201 Funeral directors and embalmers","0","0","0"
"62202 Jewellers, jewellery and watch repairers and related occupations","0","0","0"
"63 Occupations in sales and services","595","34,800","59,800"
"631 Occupations in sales","120","87,000","164,000"
"6310 Insurance, real estate and financial sales occupations","120","87,000","164,000"
"63100 Insurance agents and brokers","50","78,500","84,000"
"63101 Real estate agents and salespersons","45","102,000","220,000"
"63102 Financial sales representatives","30","0","220,000"
"632 Occupations in services","470","27,600","32,800"
"6320 Cooks, butchers and bakers","390","28,200","33,800"
"63200 Cooks","305","26,800","32,400"
"63201 Butchers - retail and wholesale","25","0","28,000"
"63202 Bakers","55","40,400","44,000"
"6321 Hairstylists and estheticians","80","26,400","29,000"
"63210 Hairstylists and barbers","50","33,600","30,000"
"63211 Estheticians, electrologists and related occupations","30","14,300","28,000"
"6322 Shoe repairers, shoemakers and upholsterers","0","0","0"
"63220 Shoe repairers and shoemakers","0","0","0"
"63221 Upholsterers","0","0","0"
"64 Sales and service representatives and other customer and personal services occupations","1,290","32,000","36,040"
"641 Retail salespersons and non-technical wholesale trade sales and account representatives","715","30,800","34,400"
"6410 Retail salespersons and non-technical wholesale trade sales and account representatives","715","30,800","34,400"
"64100 Retail salespersons and visual merchandisers","680","30,800","33,800"
"64101 Sales and account representatives - wholesale trade (non-technical)","30","39,600","48,000"
"642 Occupations in personal service","0","0","0"
"6420 Occupations in personal service","0","0","0"
"64200 Tailors, dressmakers, furriers and milliners","0","0","0"
"64201 Image, social and other personal consultants","0","0","0"
"643 Occupations in food, accommodation and tourism","235","29,000","30,400"
"6430 Occupations in food and beverage service","90","16,400","18,000"
"64300 Maîtres d'hôtel and hosts/hostesses","20","0","13,000"
"64301 Bartenders","65","18,200","19,500"
"6431 Occupations in travel and accommodation","100","36,400","39,500"
"64310 Travel counsellors","35","0","52,000"
"64311 Pursers and flight attendants","20","0","40,000"
"64312 Airline ticket and service agents","0","0","0"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","0","0","0"
"64314 Hotel front desk clerks","40","34,800","35,000"
"6432 Tourism and amusement services occupations","45","38,000","33,000"
"64320 Tour and travel guides","15","0","36,000"
"64321 Casino workers","0","0","0"
"64322 Outdoor sport and recreational guides","30","0","32,000"
"644 Occupations in customer, information and protective services","335","44,400","44,800"
"6440 Customer and information services representatives","220","41,200","42,000"
"64400 Customer services representatives - financial institutions","40","44,000","44,000"
"64401 Postal services representatives","15","0","16,000"
"64409 Other customer and information services representatives","165","44,000","44,000"
