"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Nova Scotia i4",,
"141 Office, court, and data support occupations","10,865","29,000","30,120"
"1410 Office support and court services occupations","8,995","30,000","30,800"
"14100 General office support workers","5,080","35,600","33,800"
"14101 Receptionists","3,455","21,200","23,720"
"14102 Personnel clerks","330","46,000","49,200"
"14103 Court clerks and related court services occupations","130","57,200","54,000"
"1411 Survey, statistical and data entry occupations","1,865","21,800","26,840"
"14110 Survey interviewers and statistical clerks","395","19,400","25,000"
"14111 Data entry clerks","1,470","22,400","27,200"
"14112 Desktop publishing operators and related occupations","0","0","0"
"142 Financial, insurance and related administrative support workers","4,655","41,200","41,160"
"1420 Financial, insurance and related administrative support workers","4,655","41,200","41,160"
"14200 Accounting and related clerks","4,040","41,200","41,280"
"14201 Banking, insurance and other financial clerks","435","40,000","40,400"
"14202 Collection clerks","180","44,400","40,400"
"143 Library, correspondence and other clerks","1,040","34,400","34,000"
"1430 Library, correspondence and other clerks","1,040","34,400","34,000"
"14300 Library assistants and clerks","530","23,200","26,400"
"14301 Correspondence, publication and regulatory clerks","515","44,800","41,800"
"144 Supply chain logistics, tracking and scheduling coordination occupations","4,900","38,000","40,320"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","4,900","38,000","40,320"
"14400 Shippers and receivers","2,125","32,800","35,240"
"14401 Storekeepers and partspersons","985","40,800","43,200"
"14402 Production logistics workers","160","54,000","56,000"
"14403 Purchasing and inventory control workers","755","40,400","39,400"
"14404 Dispatchers","725","46,000","47,100"
"14405 Transportation route and crew schedulers","145","50,400","48,000"
"2 Natural and applied sciences and related occupations","31,810","67,500","69,800"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","2,340","97,000","105,800"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","2,340","97,000","105,800"
"2001 Managers in engineering, architecture, science and information systems","2,340","97,000","105,800"
"20010 Engineering managers","700","106,000","108,200"
"20011 Architecture and science managers","325","93,000","97,600"
"20012 Computer and information systems managers","1,315","96,000","106,600"
"21 Professional occupations in natural and applied sciences","17,195","71,500","73,600"
"211 Professional occupations in natural sciences","2,475","67,500","68,900"
"2110 Physical science professionals","725","73,000","77,800"
"21100 Physicists and astronomers","70","81,000","74,000"
"21101 Chemists","225","71,000","73,500"
"21102 Geoscientists and oceanographers","355","72,000","78,000"
"21103 Meteorologists and climatologists","60","114,000","100,000"
"21109 Other professional occupations in physical sciences","0","0","0"
"2111 Life science professionals","1,225","64,000","65,000"
"21110 Biologists and related scientists","1,065","64,000","65,800"
"21111 Forestry professionals","105","73,000","66,000"
"21112 Agricultural representatives, consultants and specialists","55","50,800","50,000"
"2112 Public and environmental health and safety professionals","520","67,500","66,000"
"21120 Public and environmental health and safety professionals","520","67,500","66,000"
"212 Professional occupations in applied sciences (except engineering)","9,810","68,000","69,100"
"2120 Architects, urban planners and land surveyors","1,020","64,500","67,000"
"21200 Architects","305","68,500","76,500"
"21201 Landscape architects","30","0","38,000"
"21202 Urban and land use planners","470","69,500","68,400"
"21203 Land surveyors","220","58,000","54,400"
"2121 Mathematicians, statisticians, actuaries and data scientists","360","75,000","82,800"
"21210 Mathematicians, statisticians and actuaries","175","86,000","88,000"
"21211 Data scientists","185","70,000","78,000"
"2122 Computer and information systems professionals","3,870","71,000","70,300"
"21220 Cybersecurity specialists","315","74,500","78,000"
"21221 Business systems specialists","605","71,500","71,200"
"21222 Information systems specialists","2,440","72,000","70,100"
"21223 Database analysts and data administrators","515","66,500","65,200"
"2123 Computer, software and Web designers and developers","4,560","66,000","67,600"
"21230 Computer systems developers and programmers","635","68,000","65,200"
"21231 Software engineers and designers","1,210","81,000","84,400"
"21232 Software developers and programmers","1,560","66,000","69,000"
"21233 Web designers","200","32,400","33,200"
"21234 Web developers and programmers","955","55,200","52,700"
"213 Professional occupations in engineering","4,905","80,000","84,800"
"2130 Civil and mechanical engineers","2,365","80,000","85,400"
"21300 Civil engineers","1,540","81,000","90,000"
"21301 Mechanical engineers","820","74,000","76,600"
"2131 Electrical, electronics and computer engineers","1,295","84,000","84,800"
"21310 Electrical and electronics engineers","900","84,000","86,400"
"21311 Computer engineers (except software engineers and designers)","395","79,500","81,600"
"2132 Manufacturing and processing engineers","535","68,500","70,800"
"21320 Chemical engineers","110","52,800","63,000"
"21321 Industrial and manufacturing engineers","385","70,000","74,400"
"21322 Metallurgical and materials engineers","35","58,000","56,000"
"2133 Natural resources engineers","135","95,000","98,000"
"21330 Mining engineers","45","91,000","88,000"
"21331 Geological engineers","50","105,000","100,000"
"21332 Petroleum engineers","35","75,500","110,000"
"2139 Other engineers","580","88,000","92,000"
"21390 Aerospace engineers","60","91,000","96,000"
"21399 Other professional engineers","520","88,000","91,200"
"22 Technical occupations related to natural and applied sciences","12,270","58,000","57,700"
"221 Technical occupations related to natural sciences","1,780","40,800","46,920"
"2210 Technical occupations in physical sciences","310","42,400","51,600"
"22100 Chemical technologists and technicians","205","31,600","37,600"
"22101 Geological and mineral technologists and technicians","105","80,000","79,000"
"2211 Technical occupations in life sciences","1,470","40,400","45,920"
"22110 Biological technologists and technicians","335","32,400","35,400"
"22111 Agricultural and fish products inspectors","165","75,000","64,500"
"22112 Forestry technologists and technicians","235","66,000","58,400"
"22113 Conservation and fishery officers","225","78,500","73,000"
"22114 Landscape and horticulture technicians and specialists","515","23,800","29,400"
"222 Technical occupations related to applied sciences (except engineering)","5,280","57,600","57,000"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","1,280","52,400","49,700"
"22210 Architectural technologists and technicians","185","50,400","50,800"
"22211 Industrial designers","75","54,400","50,000"
"22212 Drafting technologists and technicians","505","44,000","44,000"
"22213 Land survey technologists and technicians","155","51,600","50,000"
"22214 Technical occupations in geomatics and meteorology","355","62,400","57,000"
"2222 Technical occupations in computer and information systems","2,860","56,800","54,750"
"22220 Computer network and web technicians","1,240","67,000","62,000"
"22221 User support technicians","1,455","45,600","48,960"
"22222 Information systems testing technicians","165","52,400","51,200"
"2223 Technical inspectors and regulatory officers","1,145","67,000","70,800"
"22230 Non-destructive testers and inspectors","205","77,500","84,000"
"22231 Engineering inspectors and regulatory officers","175","69,500","76,500"
"22232 Occupational health and safety specialists","420","58,800","61,000"
"22233 Construction inspectors","345","67,500","72,000"
"223 Technical occupations related to engineering","5,215","62,000","62,100"
"2230 Technical occupations in civil, mechanical and industrial engineering","1,895","63,600","64,400"
"22300 Civil engineering technologists and technicians","330","61,200","54,000"
"22301 Mechanical engineering technologists and technicians","715","72,500","68,600"
"22302 Industrial engineering and manufacturing technologists and technicians","295","65,500","60,800"
"22303 Construction estimators","560","60,400","66,800"
"2231 Technical occupations in electronics and electrical engineering","3,315","60,000","60,800"
"22310 Electrical and electronics engineering technologists and technicians","1,480","69,000","67,400"
"22311 Electronic service technicians (household and business equipment)","1,275","46,000","46,800"
"22312 Industrial instrument technicians and mechanics","120","75,000","84,000"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","445","76,000","72,800"
"3 Health occupations","44,605","48,400","57,350"
"30 Specialized middle management occupations in health care","1,030","91,000","91,000"
"300 Specialized middle management occupations in health care","1,030","91,000","91,000"
"3001 Managers in health care","1,030","91,000","91,000"
"30010 Managers in health care","1,030","91,000","91,000"
"31 Professional occupations in health","19,055","79,500","79,000"
"311 Health treating and consultation services professionals","5,315","87,000","105,500"
"3110 Physicians and veterinarians","2,795","97,000","128,400"
"31100 Specialists in clinical and laboratory medicine","960","123,000","144,800"
"31101 Specialists in surgery","325","116,000","154,000"
"31102 General practitioners and family physicians","1,210","98,000","120,600"
"31103 Veterinarians","305","81,000","80,000"
"3111 Dentists, optometrists and audiologists","900","85,000","89,800"
"31110 Dentists","435","99,000","104,400"
"31111 Optometrists","145","95,000","94,000"
"31112 Audiologists and speech-language pathologists","320","78,500","68,500"
"3112 Pharmacists and dietitians","1,620","82,000","74,700"
"31120 Pharmacists","1,205","85,000","78,600"
"31121 Dietitians and nutritionists","415","72,000","63,200"
"312 Therapy and assessment professionals","2,290","68,000","64,200"
"3120 Therapy and assessment professionals","2,290","68,000","64,200"
"31200 Psychologists","540","85,000","86,800"
"31201 Chiropractors","185","45,200","45,200"
"31202 Physiotherapists","755","70,500","65,800"
"31203 Occupational therapists","425","70,000","61,200"
"31204 Kinesiologists and other professional occupations in therapy and assessment","285","46,400","43,600"
"31209 Other professional occupations in health diagnosing and treating","105","27,600","37,500"
"313 Nursing and allied health professionals","11,450","77,000","69,600"
"3130 Nursing and allied health professionals","11,450","77,000","69,600"
"31300 Nursing coordinators and supervisors","490","83,000","74,400"
"31301 Registered nurses and registered psychiatric nurses","10,635","75,500","68,700"
"31302 Nurse practitioners","215","109,000","102,000"
"31303 Physician assistants, midwives and allied health professionals","110","88,000","82,000"
"32 Technical occupations in health","10,355","48,800","49,120"
"321 Technical occupations in health (except practitioners of natural healing)","9,015","53,200","53,000"
"3210 Technical occupations in therapy and assessment","5,760","56,000","54,350"
"32100 Opticians","250","42,400","45,200"
"32101 Licensed practical nurses","2,895","58,800","53,600"
"32102 Paramedical occupations","1,195","75,500","73,800"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","355","74,500","69,600"
"32104 Animal health technologists and veterinary technicians","655","29,000","28,350"
"32109 Other technical occupations in therapy and assessment","415","42,400","37,600"
"3211 Technical occupations in dental health care","960","42,000","39,700"
"32110 Denturists","40","31,600","20,000"
"32111 Dental hygienists and dental therapists","765","44,000","41,600"
"32112 Dental technologists and technicians","155","36,800","36,000"
"3212 Medical technologists and technicians","2,295","58,000","55,050"
"32120 Medical laboratory technologists","725","74,000","65,800"
"32121 Medical radiation technologists","505","76,000","67,600"
"32122 Medical sonographers","155","62,000","59,000"
"32123 Cardiology technologists and electrophysiological diagnostic technologists","80","60,000","52,000"
"32124 Pharmacy technicians","685","36,400","35,700"
"32129 Other medical technologists and technicians","140","44,800","46,000"
"322 Practitioners of natural healing","1,340","20,200","23,260"
"3220 Practitioners of natural healing","1,340","20,200","23,260"
"32200 Traditional Chinese medicine practitioners and acupuncturists","115","12,000","14,200"
"32201 Massage therapists","1,080","22,200","24,480"
"32209 Other practitioners of natural healing","145","9,200","21,200"
"33 Assisting occupations in support of health services","14,165","32,400","31,760"
"331 Assisting occupations in support of health services","14,165","32,400","31,760"
"3310 Assisting occupations in support of health services","14,165","32,400","31,760"
"33100 Dental assistants and dental laboratory assistants","825","29,600","31,150"
"33101 Medical laboratory assistants and related technical occupations","595","44,400","41,800"
"33102 Nurse aides, orderlies and patient service associates","10,760","33,200","31,360"
"33103 Pharmacy technical assistants and pharmacy assistants","925","25,600","26,350"
"33109 Other assisting occupations in support of health services","1,065","31,200","35,200"
"4 Occupations in education, law and social, community and government services","67,460","54,800","58,950"
"40 Managers in public administration, in education and social and community services and in public protection services","5,385","90,000","87,500"
"400 Managers in public administration, in education and social and community services and in public protection services","5,385","90,000","87,500"
"4001 Managers in public administration","810","100,000","96,600"
"40010 Government managers - health and social policy development and program administration","245","92,000","92,000"
"40011 Government managers - economic analysis, policy development and program administration","345","106,000","104,800"
"40012 Government managers - education policy development and program administration","80","98,000","94,000"
"40019 Other managers in public administration","140","94,000","86,000"
"4002 Managers in education","1,530","99,000","93,700"
"40020 Administrators - post-secondary education and vocational training","675","79,500","89,000"
"40021 School principals and administrators of elementary and secondary education","855","102,000","97,200"
"4003 Managers in social, community and correctional services","935","58,800","60,400"
"40030 Managers in social, community and correctional services","935","58,800","60,400"
"4004 Managers in public protection services","2,105","90,000","91,500"
"40040 Commissioned police officers and related occupations in public protection services","45","97,000","108,000"
"40041 Fire chiefs and senior firefighting officers","60","139,000","116,000"
"40042 Commissioned officers of the Canadian Armed Forces","2,005","89,000","90,500"
"41 Professional occupations in law, education, social, community and government services","33,025","67,500","66,400"
"411 Professional occupations in law","2,165","106,000","130,200"
"4110 Judges, lawyers and Quebec notaries","2,165","106,000","130,200"
"41100 Judges","130","336,000","288,000"
"41101 Lawyers and Quebec notaries","2,035","102,000","120,100"
"412 Professional occupations in education services","19,845","68,500","62,400"
"4120 University professors and post-secondary assistants","6,020","42,800","63,250"
"41200 University professors and lecturers","3,115","105,000","101,300"
"41201 Post-secondary teaching and research assistants","2,910","10,800","22,500"
"4121 College and other vocational instructors","2,300","62,400","62,500"
"41210 College and other vocational instructors","2,300","62,400","62,500"
"4122 Secondary, elementary and kindergarten school teachers","11,530","74,500","61,950"
"41220 Secondary school teachers","3,655","76,000","65,400"
"41221 Elementary school and kindergarten teachers","7,870","72,500","60,300"
"413 Professional occupations in social and community services","5,160","58,000","57,850"
"4130 Social and community service professionals","3,825","58,400","57,500"
"41300 Social workers","2,075","72,000","66,200"
"41301 Therapists in counselling and related specialized therapies","760","49,200","49,700"
"41302 Religious leaders","990","43,200","45,200"
"4131 Police investigators and probation officers","200","88,000","84,000"
"41310 Police investigators and other investigative occupations","45","112,000","104,000"
"41311 Probation and parole officers","155","84,000","78,000"
"4132 Educational and employment counsellors","1,135","51,600","54,400"
"41320 Educational counsellors","805","65,000","60,800"
"41321 Career development practitioners and career counsellors (except education)","330","41,200","39,000"
"414 Professional occupations in government services","5,850","64,500","64,000"
"4140 Policy and program researchers, consultants and officers","5,850","64,500","64,000"
"41400 Natural and applied science policy researchers, consultants and program officers","1,015","68,000","70,000"
"41401 Economists and economic policy researchers and analysts","315","71,000","72,500"
"41402 Business development officers and market researchers and analysts","940","67,000","67,000"
"41403 Social policy researchers, consultants and program officers","1,150","66,000","63,800"
"41404 Health policy researchers, consultants and program officers","730","70,000","66,800"
"41405 Education policy researchers, consultants and program officers","830","60,800","62,200"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","390","42,000","38,800"
"41407 Program officers unique to government","335","60,800","58,400"
"41409 Other professional occupations in social science","150","66,000","65,000"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","14,890","40,400","48,880"
"421 Occupations in front-line public protection services","3,215","104,000","99,400"
"4210 Occupations in front-line public protection services","3,215","104,000","99,400"
"42100 Police officers (except commissioned)","2,010","108,000","104,000"
"42101 Firefighters","820","103,000","99,000"
"42102 Specialized members of the Canadian Armed Forces","385","79,500","75,600"
"422 Paraprofessional occupations in legal, social, community and education services","11,680","34,800","35,000"
"4220 Paraprofessional occupations in legal, social, community and education services","11,680","34,800","35,000"
"42200 Paralegals and related occupations","820","45,200","45,100"
"42201 Social and community service workers","5,585","42,400","41,080"
"42202 Early childhood educators and assistants","4,795","26,200","25,200"
"42203 Instructors of persons with disabilities","360","46,400","48,600"
"42204 Religion workers","120","26,200","33,000"
"43 Assisting occupations in education and in legal and public protection","9,825","49,200","50,360"
"431 Assisting occupations in educational","4,310","24,200","23,740"
"4310 Assisting occupations in education","4,310","24,200","23,740"
"43100 Elementary and secondary school teacher assistants","3,620","25,200","24,580"
"43109 Other instructors","690","12,500","19,320"
"432 Assisting occupations in legal and public protection","5,510","73,500","71,100"
"4320 Assisting occupations in legal and public protection","5,510","73,500","71,100"
"43200 Sheriffs and bailiffs","325","63,200","59,200"
"43201 Correctional service officers","680","80,000","76,800"
"43202 By-law enforcement and other regulatory officers","240","67,000","62,400"
"43203 Border services, customs, and immigration officers","295","69,000","67,000"
"43204 Operations members of the Canadian Armed Forces","3,980","74,500","72,000"
"44 Care providers and legal and public protection support occupations","3,320","19,600","24,080"
"441 Home care provider occupations","2,830","17,400","22,120"
"4410 Home care provider occupations","2,830","17,400","22,120"
"44100 Home child care providers","1,025","7,300","12,700"
"44101 Home support workers, caregivers and related occupations","1,800","27,200","27,480"
"442 Primary combat members of the Canadian Armed Forces","485","34,400","35,600"
"4420 Primary combat members of the Canadian Armed Forces","485","34,400","35,600"
"44200 Primary combat members of the Canadian Armed Forces","485","34,400","35,600"
"45 Student monitors, crossing guards and related occupations","1,015","6,240","8,660"
"451 Student monitors, crossing guards and related occupations","1,015","6,240","8,660"
"4510 Student monitors, crossing guards and related occupations","1,015","6,240","8,660"
"45100 Student monitors, crossing guards and related occupations","1,015","6,240","8,660"
"5 Occupations in art, culture, recreation and sport","13,165","17,000","30,800"
"50 Specialized middle management occupations in art, culture, recreation and sport","745","44,800","52,100"
"500 Specialized middle management occupations in art, culture, recreation and sport","745","44,800","52,100"
"5001 Managers in art, culture, recreation and sport","745","44,800","52,100"
"50010 Library, archive, museum and art gallery managers","135","48,800","64,000"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","185","42,400","50,400"
"50012 Recreation, sports and fitness program and service directors","425","44,800","49,200"
"51 Professional occupations in art and culture","3,300","29,600","36,760"
"511 Professional occupations in art and culture","3,300","29,600","36,760"
"5110 Librarians, archivists, conservators and curators","385","65,000","61,600"
"51100 Librarians","250","66,500","65,500"
"51101 Conservators and curators","70","53,200","50,000"
"51102 Archivists","60","67,000","58,000"
"5111 Writing, translating and related communications professionals","1,560","29,400","36,080"
"51110 Editors","310","39,200","39,200"
"51111 Authors and writers (except technical)","575","11,300","24,300"
"51112 Technical writers","190","47,600","50,400"
"51113 Journalists","315","45,200","46,000"
"51114 Translators, terminologists and interpreters","170","30,800","36,400"
"5112 Creative and performing artists","1,360","14,900","30,520"
"51120 Producers, directors, choreographers and related occupations","550","50,800","51,200"
"51121 Conductors, composers and arrangers","65","10,300","30,000"
"51122 Musicians and singers","745","8,500","15,360"
"52 Technical occupations in art, culture and sport","3,435","38,800","44,680"
"521 Technical occupations in art and culture","3,435","38,800","44,680"
"5210 Technical occupations in libraries and public archives","365","34,800","32,400"
"52100 Library and public archive technicians","365","34,800","32,400"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","1,270","44,400","53,800"
"52110 Film and video camera operators","125","26,800","35,500"
"52111 Graphic arts technicians","115","43,200","41,000"
"52112 Broadcast technicians","40","50,400","54,000"
"52113 Audio and video recording technicians","335","15,500","26,100"
"52114 Announcers and other broadcasters","150","39,200","45,000"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","510","74,500","81,600"
"5212 Graphic and interior designers","1,800","37,200","40,760"
"52120 Graphic designers and illustrators","1,475","38,400","41,000"
"52121 Interior designers and interior decorators","320","34,000","39,800"
"53 Occupations in art, culture and sport","3,085","9,600","19,340"
"531 Occupations in art and culture","2,665","8,600","17,040"
"5310 Occupations related to museums and art galleries","430","13,600","17,000"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","430","13,600","17,000"
"5311 Photographers and support occupations in arts and culture","620","14,300","23,400"
"53110 Photographers","405","11,900","19,400"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","220","26,200","30,800"
"5312 Occupations in creative and performing art","1,615","5,880","14,600"
"53120 Dancers","205","5,880","12,500"
"53121 Actors, comedians and circus performers","190","10,600","23,800"
"53122 Painters, sculptors and other visual artists","480","3,000","10,880"
"53123 Theatre, fashion, exhibit and other creative designers","175","11,500","18,800"
"53124 Artisans and craftspersons","540","6,120","13,950"
"53125 Patternmakers - textile, leather and fur products","20","0","18,000"
"532 Occupations in sports","420","20,200","34,000"
"5320 Athletes, coaches, referees and related occupations","420","20,200","34,000"
"53200 Athletes","40","20,200","44,000"
"53201 Coaches","325","31,600","37,400"
"53202 Sports officials and referees","55","4,440","7,200"
"54 Support occupations in sport","2,540","5,720","12,330"
"541 Support occupations in sport","2,540","5,720","12,330"
"5410 Program leaders and instructors in recreation, sport and fitness","2,540","5,720","12,330"
"54100 Program leaders and instructors in recreation, sport and fitness","2,540","5,720","12,330"
"55 Support occupations in art and culture","45","5,160","12,400"
"551 Support occupations in art and culture","45","5,160","12,400"
"5510 Support occupations in art and culture","45","5,160","12,400"
"55109 Other performers","45","5,160","12,400"
"6 Sales and service occupations","123,320","20,000","28,760"
"60 Middle management occupations in retail and wholesale trade and customer services","17,205","44,400","55,650"
"600 Middle management occupations in retail and wholesale trade and customer services","17,205","44,400","55,650"
"6001 Corporate sales managers","1,565","92,000","100,200"
"60010 Corporate sales managers","1,565","92,000","100,200"
"6002 Retail and wholesale trade managers","10,710","47,200","58,700"
"60020 Retail and wholesale trade managers","10,710","47,200","58,700"
"6003 Managers in food service and accommodation","4,375","30,200","34,760"
"60030 Restaurant and food service managers","3,515","31,000","35,640"
"60031 Accommodation service managers","860","24,200","31,100"
"6004 Managers in customer and personal services","560","30,600","36,400"
"60040 Managers in customer and personal services","560","30,600","36,400"
"62 Retail sales and service supervisors and specialized occupations in sales and services","9,575","28,400","37,480"
"620 Retail sales and service supervisors","5,655","26,400","30,360"
"6201 Retail sales supervisors","2,020","26,400","31,120"
"62010 Retail sales supervisors","2,020","26,400","31,120"
"6202 Service supervisors","3,635","26,400","29,920"
"62020 Food service supervisors","2,335","23,400","26,560"
"62021 Executive housekeepers","40","26,600","30,000"
"62022 Accommodation, travel, tourism and related services supervisors","165","25,200","27,000"
"62023 Customer and information services supervisors","465","41,600","46,400"
"62024 Cleaning supervisors","360","28,000","31,600"
"62029 Other services supervisors","260","34,000","30,400"
"621 Specialized sales occupations","2,195","52,000","63,150"
"6210 Technical sales specialists in wholesale trade and retail and wholesale buyers","2,195","52,000","63,150"
"62100 Technical sales specialists - wholesale trade","1,280","73,000","84,200"
"62101 Retail and wholesale buyers","910","25,000","33,500"
"622 Specialized services occupations","1,730","23,200","28,160"
"6220 Specialized occupations in services","1,730","23,200","28,160"
"62200 Chefs","1,470","21,800","26,320"
"62201 Funeral directors and embalmers","210","44,000","44,000"
"62202 Jewellers, jewellery and watch repairers and related occupations","45","4,680","12,400"
"63 Occupations in sales and services","15,465","20,400","29,680"
"631 Occupations in sales","4,665","47,600","53,450"
"6310 Insurance, real estate and financial sales occupations","4,665","47,600","53,450"
"63100 Insurance agents and brokers","2,150","47,600","52,650"
"63101 Real estate agents and salespersons","1,160","31,600","51,100"
"63102 Financial sales representatives","1,355","50,400","56,650"
"632 Occupations in services","10,800","15,300","19,420"
"6320 Cooks, butchers and bakers","7,035","17,400","21,120"
