"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Northwest Territories i13",,
"14103 Court clerks and related court services occupations","25","75,500","76,000"
"1411 Survey, statistical and data entry occupations","90","67,000","58,000"
"14110 Survey interviewers and statistical clerks","35","12,400","34,000"
"14111 Data entry clerks","55","73,000","68,000"
"14112 Desktop publishing operators and related occupations","0","0","0"
"142 Financial, insurance and related administrative support workers","245","77,500","77,000"
"1420 Financial, insurance and related administrative support workers","245","77,500","77,000"
"14200 Accounting and related clerks","245","77,500","77,500"
"14201 Banking, insurance and other financial clerks","0","0","0"
"14202 Collection clerks","10","0","60,000"
"143 Library, correspondence and other clerks","35","72,000","80,000"
"1430 Library, correspondence and other clerks","35","72,000","80,000"
"14300 Library assistants and clerks","10","0","25,000"
"14301 Correspondence, publication and regulatory clerks","25","125,000","110,000"
"144 Supply chain logistics, tracking and scheduling coordination occupations","260","73,000","71,500"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","260","73,000","71,500"
"14400 Shippers and receivers","55","44,400","46,000"
"14401 Storekeepers and partspersons","85","86,000","82,000"
"14402 Production logistics workers","0","0","0"
"14403 Purchasing and inventory control workers","20","50,400","44,000"
"14404 Dispatchers","80","78,500","84,000"
"14405 Transportation route and crew schedulers","20","0","70,000"
"2 Natural and applied sciences and related occupations","1,475","105,000","102,300"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","105","146,000","154,000"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","105","146,000","154,000"
"2001 Managers in engineering, architecture, science and information systems","105","146,000","154,000"
"20010 Engineering managers","35","192,000","160,000"
"20011 Architecture and science managers","25","146,000","180,000"
"20012 Computer and information systems managers","45","136,000","132,000"
"21 Professional occupations in natural and applied sciences","785","107,000","107,000"
"211 Professional occupations in natural sciences","280","110,000","104,000"
"2110 Physical science professionals","50","102,000","104,000"
"21100 Physicists and astronomers","0","0","0"
"21101 Chemists","0","0","0"
"21102 Geoscientists and oceanographers","45","95,000","104,000"
"21103 Meteorologists and climatologists","0","0","0"
"21109 Other professional occupations in physical sciences","0","0","0"
"2111 Life science professionals","150","106,000","102,000"
"21110 Biologists and related scientists","140","102,000","100,000"
"21111 Forestry professionals","0","0","0"
"21112 Agricultural representatives, consultants and specialists","0","0","0"
"2112 Public and environmental health and safety professionals","80","118,000","108,000"
"21120 Public and environmental health and safety professionals","80","118,000","108,000"
"212 Professional occupations in applied sciences (except engineering)","295","102,000","94,000"
"2120 Architects, urban planners and land surveyors","125","96,000","92,000"
"21200 Architects","20","0","85,000"
"21201 Landscape architects","0","0","0"
"21202 Urban and land use planners","85","96,000","86,000"
"21203 Land surveyors","20","0","120,000"
"2121 Mathematicians, statisticians, actuaries and data scientists","0","0","0"
"21210 Mathematicians, statisticians and actuaries","0","0","0"
"21211 Data scientists","0","0","0"
"2122 Computer and information systems professionals","135","105,000","100,000"
"21220 Cybersecurity specialists","0","0","0"
"21221 Business systems specialists","0","0","0"
"21222 Information systems specialists","95","105,000","102,000"
"21223 Database analysts and data administrators","30","89,000","90,000"
"2123 Computer, software and Web designers and developers","35","77,000","72,000"
"21230 Computer systems developers and programmers","0","0","0"
"21231 Software engineers and designers","0","0","0"
"21232 Software developers and programmers","10","0","60,000"
"21233 Web designers","0","0","0"
"21234 Web developers and programmers","15","0","70,000"
"213 Professional occupations in engineering","215","120,000","128,000"
"2130 Civil and mechanical engineers","165","119,000","115,000"
"21300 Civil engineers","105","122,000","126,000"
"21301 Mechanical engineers","55","77,500","96,000"
"2131 Electrical, electronics and computer engineers","25","136,000","110,000"
"21310 Electrical and electronics engineers","20","0","95,000"
"21311 Computer engineers (except software engineers and designers)","0","0","0"
"2132 Manufacturing and processing engineers","0","0","0"
"21320 Chemical engineers","0","0","0"
"21321 Industrial and manufacturing engineers","0","0","0"
"21322 Metallurgical and materials engineers","0","0","0"
"2133 Natural resources engineers","20","0","260,000"
"21330 Mining engineers","20","0","260,000"
"21331 Geological engineers","0","0","0"
"21332 Petroleum engineers","0","0","0"
"2139 Other engineers","0","0","0"
"21390 Aerospace engineers","0","0","0"
"21399 Other professional engineers","0","0","0"
"22 Technical occupations related to natural and applied sciences","580","91,000","86,800"
"221 Technical occupations related to natural sciences","135","52,800","75,000"
"2210 Technical occupations in physical sciences","30","50,400","60,000"
"22100 Chemical technologists and technicians","0","0","0"
"22101 Geological and mineral technologists and technicians","30","0","48,000"
"2211 Technical occupations in life sciences","105","78,500","79,000"
"22110 Biological technologists and technicians","35","47,600","64,000"
"22111 Agricultural and fish products inspectors","0","0","0"
"22112 Forestry technologists and technicians","20","52,000","64,000"
"22113 Conservation and fishery officers","45","115,000","100,000"
"22114 Landscape and horticulture technicians and specialists","0","0","0"
"222 Technical occupations related to applied sciences (except engineering)","280","95,000","87,000"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","90","65,500","72,000"
"22210 Architectural technologists and technicians","0","0","0"
"22211 Industrial designers","0","0","0"
"22212 Drafting technologists and technicians","15","0","70,000"
"22213 Land survey technologists and technicians","15","0","32,000"
"22214 Technical occupations in geomatics and meteorology","55","92,000","80,000"
"2222 Technical occupations in computer and information systems","140","104,000","96,000"
"22220 Computer network and web technicians","85","99,000","92,000"
"22221 User support technicians","55","104,000","104,000"
"22222 Information systems testing technicians","0","0","0"
"2223 Technical inspectors and regulatory officers","55","75,000","88,000"
"22230 Non-destructive testers and inspectors","0","0","0"
"22231 Engineering inspectors and regulatory officers","0","0","0"
"22232 Occupational health and safety specialists","45","68,000","80,000"
"22233 Construction inspectors","0","0","0"
"223 Technical occupations related to engineering","165","100,000","96,000"
"2230 Technical occupations in civil, mechanical and industrial engineering","50","82,000","96,000"
"22300 Civil engineering technologists and technicians","20","0","100,000"
"22301 Mechanical engineering technologists and technicians","15","0","70,000"
"22302 Industrial engineering and manufacturing technologists and technicians","0","0","0"
"22303 Construction estimators","15","0","100,000"
"2231 Technical occupations in electronics and electrical engineering","120","103,000","98,000"
"22310 Electrical and electronics engineering technologists and technicians","30","99,000","95,000"
"22311 Electronic service technicians (household and business equipment)","65","103,000","84,000"
"22312 Industrial instrument technicians and mechanics","0","0","0"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","20","0","140,000"
"3 Health occupations","1,285","100,000","104,800"
"30 Specialized middle management occupations in health care","40","131,000","120,000"
"300 Specialized middle management occupations in health care","40","131,000","120,000"
"3001 Managers in health care","40","131,000","120,000"
"30010 Managers in health care","40","131,000","120,000"
"31 Professional occupations in health","665","119,000","127,400"
"311 Health treating and consultation services professionals","145","120,000","164,000"
"3110 Physicians and veterinarians","60","246,000","250,000"
"31100 Specialists in clinical and laboratory medicine","0","0","0"
"31101 Specialists in surgery","0","0","0"
"31102 General practitioners and family physicians","50","260,000","260,000"
"31103 Veterinarians","0","0","0"
"3111 Dentists, optometrists and audiologists","35","76,000","90,000"
"31110 Dentists","10","0","90,000"
"31111 Optometrists","0","0","0"
"31112 Audiologists and speech-language pathologists","25","99,000","85,000"
"3112 Pharmacists and dietitians","45","132,000","108,000"
"31120 Pharmacists","30","144,000","140,000"
"31121 Dietitians and nutritionists","20","0","50,000"
"312 Therapy and assessment professionals","85","104,000","102,000"
"3120 Therapy and assessment professionals","85","104,000","102,000"
"31200 Psychologists","30","127,000","120,000"
"31201 Chiropractors","0","0","0"
"31202 Physiotherapists","15","0","90,000"
"31203 Occupational therapists","40","100,000","100,000"
"31204 Kinesiologists and other professional occupations in therapy and assessment","0","0","0"
"31209 Other professional occupations in health diagnosing and treating","0","0","0"
"313 Nursing and allied health professionals","435","124,000","120,400"
"3130 Nursing and allied health professionals","435","124,000","120,400"
"31300 Nursing coordinators and supervisors","20","155,000","160,000"
"31301 Registered nurses and registered psychiatric nurses","395","122,000","118,000"
"31302 Nurse practitioners","15","0","120,000"
"31303 Physician assistants, midwives and allied health professionals","0","0","0"
"32 Technical occupations in health","210","96,000","95,000"
"321 Technical occupations in health (except practitioners of natural healing)","180","104,000","104,000"
"3210 Technical occupations in therapy and assessment","110","109,000","108,000"
"32100 Opticians","0","0","0"
"32101 Licensed practical nurses","40","96,000","95,000"
"32102 Paramedical occupations","45","121,000","120,000"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","0","0","0"
"32104 Animal health technologists and veterinary technicians","0","0","0"
"32109 Other technical occupations in therapy and assessment","25","125,000","100,000"
"3211 Technical occupations in dental health care","20","0","90,000"
"32110 Denturists","0","0","0"
"32111 Dental hygienists and dental therapists","15","0","100,000"
"32112 Dental technologists and technicians","0","0","0"
"3212 Medical technologists and technicians","50","98,000","100,000"
"32120 Medical laboratory technologists","25","122,000","110,000"
"32121 Medical radiation technologists","10","0","100,000"
"32122 Medical sonographers","0","0","0"
"32123 Cardiology technologists and electrophysiological diagnostic technologists","0","0","0"
"32124 Pharmacy technicians","15","0","80,000"
"32129 Other medical technologists and technicians","0","0","0"
"322 Practitioners of natural healing","35","49,200","40,000"
"3220 Practitioners of natural healing","35","49,200","40,000"
"32200 Traditional Chinese medicine practitioners and acupuncturists","0","0","0"
"32201 Massage therapists","25","0","40,000"
"32209 Other practitioners of natural healing","0","0","0"
"33 Assisting occupations in support of health services","370","64,500","67,600"
"331 Assisting occupations in support of health services","370","64,500","67,600"
"3310 Assisting occupations in support of health services","370","64,500","67,600"
"33100 Dental assistants and dental laboratory assistants","25","36,000","40,000"
"33101 Medical laboratory assistants and related technical occupations","10","0","60,000"
"33102 Nurse aides, orderlies and patient service associates","245","74,500","75,000"
"33103 Pharmacy technical assistants and pharmacy assistants","0","0","0"
"33109 Other assisting occupations in support of health services","80","34,800","50,000"
"4 Occupations in education, law and social, community and government services","4,665","94,000","91,200"
"40 Managers in public administration, in education and social and community services and in public protection services","520","134,000","131,500"
"400 Managers in public administration, in education and social and community services and in public protection services","520","134,000","131,500"
"4001 Managers in public administration","210","145,000","138,000"
"40010 Government managers - health and social policy development and program administration","65","139,000","124,000"
"40011 Government managers - economic analysis, policy development and program administration","90","146,000","144,000"
"40012 Government managers - education policy development and program administration","20","0","150,000"
"40019 Other managers in public administration","25","122,000","130,000"
"4002 Managers in education","110","150,000","150,000"
"40020 Administrators - post-secondary education and vocational training","30","145,000","130,000"
"40021 School principals and administrators of elementary and secondary education","80","154,000","154,000"
"4003 Managers in social, community and correctional services","120","116,000","112,000"
"40030 Managers in social, community and correctional services","120","116,000","112,000"
"4004 Managers in public protection services","80","121,000","118,000"
"40040 Commissioned police officers and related occupations in public protection services","0","0","0"
"40041 Fire chiefs and senior firefighting officers","10","0","160,000"
"40042 Commissioned officers of the Canadian Armed Forces","70","120,000","112,000"
"41 Professional occupations in law, education, social, community and government services","2,285","107,000","100,100"
"411 Professional occupations in law","160","132,000","138,000"
"4110 Judges, lawyers and Quebec notaries","160","132,000","138,000"
"41100 Judges","20","0","280,000"
"41101 Lawyers and Quebec notaries","135","126,000","118,000"
"412 Professional occupations in education services","940","104,000","90,800"
"4120 University professors and post-secondary assistants","40","39,600","60,000"
"41200 University professors and lecturers","0","0","0"
"41201 Post-secondary teaching and research assistants","30","31,200","34,000"
"4121 College and other vocational instructors","170","109,000","92,000"
"41210 College and other vocational instructors","170","109,000","92,000"
"4122 Secondary, elementary and kindergarten school teachers","735","103,000","92,200"
"41220 Secondary school teachers","205","107,000","100,000"
"41221 Elementary school and kindergarten teachers","530","100,000","89,200"
"413 Professional occupations in social and community services","285","108,000","101,000"
"4130 Social and community service professionals","185","109,000","100,000"
"41300 Social workers","110","114,000","122,000"
"41301 Therapists in counselling and related specialized therapies","45","88,000","78,000"
"41302 Religious leaders","35","67,000","56,000"
"4131 Police investigators and probation officers","60","111,000","120,000"
"41310 Police investigators and other investigative occupations","20","0","160,000"
"41311 Probation and parole officers","40","108,000","96,000"
"4132 Educational and employment counsellors","40","81,000","80,000"
"41320 Educational counsellors","20","83,000","80,000"
"41321 Career development practitioners and career counsellors (except education)","20","0","80,000"
"414 Professional occupations in government services","900","108,000","102,800"
"4140 Policy and program researchers, consultants and officers","900","108,000","102,800"
"41400 Natural and applied science policy researchers, consultants and program officers","160","106,000","104,000"
"41401 Economists and economic policy researchers and analysts","30","115,000","110,000"
"41402 Business development officers and market researchers and analysts","65","93,000","84,000"
"41403 Social policy researchers, consultants and program officers","200","103,000","107,000"
"41404 Health policy researchers, consultants and program officers","120","95,000","96,000"
"41405 Education policy researchers, consultants and program officers","160","116,000","100,000"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","35","93,000","85,000"
"41407 Program officers unique to government","100","136,000","126,000"
"41409 Other professional occupations in social science","35","86,000","85,000"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","970","65,500","71,600"
"421 Occupations in front-line public protection services","275","123,000","114,000"
"4210 Occupations in front-line public protection services","275","123,000","114,000"
"42100 Police officers (except commissioned)","205","127,000","125,000"
"42101 Firefighters","65","59,200","78,000"
"42102 Specialized members of the Canadian Armed Forces","0","0","0"
"422 Paraprofessional occupations in legal, social, community and education services","695","53,600","54,900"
"4220 Paraprofessional occupations in legal, social, community and education services","695","53,600","54,900"
"42200 Paralegals and related occupations","20","0","70,000"
"42201 Social and community service workers","440","65,000","63,200"
"42202 Early childhood educators and assistants","225","36,400","39,200"
"42203 Instructors of persons with disabilities","0","0","0"
"42204 Religion workers","10","0","8,000"
"43 Assisting occupations in education and in legal and public protection","710","72,500","70,400"
"431 Assisting occupations in educational","360","56,800","53,200"
"4310 Assisting occupations in education","360","56,800","53,200"
"43100 Elementary and secondary school teacher assistants","335","58,400","54,800"
"43109 Other instructors","30","23,600","34,000"
"432 Assisting occupations in legal and public protection","355","91,000","88,000"
"4320 Assisting occupations in legal and public protection","355","91,000","88,000"
"43200 Sheriffs and bailiffs","0","0","0"
"43201 Correctional service officers","160","99,000","86,000"
"43202 By-law enforcement and other regulatory officers","40","102,000","100,000"
"43203 Border services, customs, and immigration officers","15","0","50,000"
"43204 Operations members of the Canadian Armed Forces","140","88,000","90,000"
"44 Care providers and legal and public protection support occupations","175","40,800","46,800"
"441 Home care provider occupations","150","34,000","41,000"
"4410 Home care provider occupations","150","34,000","41,000"
"44100 Home child care providers","80","28,000","28,800"
"44101 Home support workers, caregivers and related occupations","70","65,500","56,000"
"442 Primary combat members of the Canadian Armed Forces","25","0","85,000"
"4420 Primary combat members of the Canadian Armed Forces","25","0","85,000"
"44200 Primary combat members of the Canadian Armed Forces","25","0","85,000"
"45 Student monitors, crossing guards and related occupations","0","0","0"
"451 Student monitors, crossing guards and related occupations","0","0","0"
"4510 Student monitors, crossing guards and related occupations","0","0","0"
"45100 Student monitors, crossing guards and related occupations","0","0","0"
"5 Occupations in art, culture, recreation and sport","510","47,600","52,800"
"50 Specialized middle management occupations in art, culture, recreation and sport","35","87,000","90,000"
"500 Specialized middle management occupations in art, culture, recreation and sport","35","87,000","90,000"
"5001 Managers in art, culture, recreation and sport","35","87,000","90,000"
"50010 Library, archive, museum and art gallery managers","20","0","120,000"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","0","0","0"
"50012 Recreation, sports and fitness program and service directors","15","0","70,000"
"51 Professional occupations in art and culture","165","76,000","66,000"
"511 Professional occupations in art and culture","165","76,000","66,000"
"5110 Librarians, archivists, conservators and curators","35","95,000","95,000"
"51100 Librarians","15","0","90,000"
"51101 Conservators and curators","0","0","0"
"51102 Archivists","15","0","100,000"
"5111 Writing, translating and related communications professionals","85","62,400","57,000"
"51110 Editors","0","0","0"
"51111 Authors and writers (except technical)","10","0","40,000"
"51112 Technical writers","0","0","0"
"51113 Journalists","35","64,000","64,000"
"51114 Translators, terminologists and interpreters","40","60,000","52,000"
"5112 Creative and performing artists","40","54,800","64,000"
"51120 Producers, directors, choreographers and related occupations","20","0","100,000"
"51121 Conductors, composers and arrangers","0","0","0"
"51122 Musicians and singers","25","0","32,000"
"52 Technical occupations in art, culture and sport","100","65,500","64,000"
"521 Technical occupations in art and culture","100","65,500","64,000"
"5210 Technical occupations in libraries and public archives","10","0","70,000"
"52100 Library and public archive technicians","10","0","70,000"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","45","78,000","72,000"
"52110 Film and video camera operators","0","0","0"
"52111 Graphic arts technicians","0","0","0"
"52112 Broadcast technicians","0","0","0"
"52113 Audio and video recording technicians","0","0","0"
"52114 Announcers and other broadcasters","30","60,400","64,000"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","15","0","90,000"
"5212 Graphic and interior designers","40","58,800","52,000"
"52120 Graphic designers and illustrators","35","58,800","56,000"
"52121 Interior designers and interior decorators","0","0","0"
"53 Occupations in art, culture and sport","95","27,200","35,500"
"531 Occupations in art and culture","90","27,200","34,500"
"5310 Occupations related to museums and art galleries","10","0","20,000"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","10","0","20,000"
"5311 Photographers and support occupations in arts and culture","25","0","44,000"
"53110 Photographers","25","0","48,000"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","0","0","0"
"5312 Occupations in creative and performing art","55","17,600","33,000"
"53120 Dancers","0","0","0"
"53121 Actors, comedians and circus performers","0","0","0"
"53122 Painters, sculptors and other visual artists","20","0","20,000"
"53123 Theatre, fashion, exhibit and other creative designers","0","0","0"
"53124 Artisans and craftspersons","30","14,600","22,000"
"53125 Patternmakers - textile, leather and fur products","0","0","0"
"532 Occupations in sports","10","0","60,000"
"5320 Athletes, coaches, referees and related occupations","10","0","60,000"
"53200 Athletes","0","0","0"
"53201 Coaches","0","0","0"
"53202 Sports officials and referees","0","0","0"
"54 Support occupations in sport","120","15,800","27,600"
"541 Support occupations in sport","120","15,800","27,600"
"5410 Program leaders and instructors in recreation, sport and fitness","120","15,800","27,600"
"54100 Program leaders and instructors in recreation, sport and fitness","120","15,800","27,600"
"55 Support occupations in art and culture","0","0","0"
"551 Support occupations in art and culture","0","0","0"
"5510 Support occupations in art and culture","0","0","0"
"55109 Other performers","0","0","0"
"6 Sales and service occupations","4,155","31,000","42,440"
"60 Middle management occupations in retail and wholesale trade and customer services","625","69,500","81,600"
"600 Middle management occupations in retail and wholesale trade and customer services","625","69,500","81,600"
"6001 Corporate sales managers","15","0","140,000"
"60010 Corporate sales managers","15","0","140,000"
"6002 Retail and wholesale trade managers","380","70,000","89,600"
"60020 Retail and wholesale trade managers","380","70,000","89,600"
"6003 Managers in food service and accommodation","190","60,400","62,800"
"60030 Restaurant and food service managers","115","46,800","53,000"
"60031 Accommodation service managers","80","68,000","76,000"
"6004 Managers in customer and personal services","40","83,000","84,000"
"60040 Managers in customer and personal services","40","83,000","84,000"
"62 Retail sales and service supervisors and specialized occupations in sales and services","260","55,600","55,600"
"620 Retail sales and service supervisors","150","44,800","51,000"
"6201 Retail sales supervisors","55","47,600","52,000"
"62010 Retail sales supervisors","55","47,600","52,000"
"6202 Service supervisors","90","39,600","51,000"
"62020 Food service supervisors","45","32,400","46,000"
"62021 Executive housekeepers","0","0","0"
"62022 Accommodation, travel, tourism and related services supervisors","0","0","0"
"62023 Customer and information services supervisors","0","0","0"
"62024 Cleaning supervisors","25","0","60,000"
"62029 Other services supervisors","10","0","70,000"
"621 Specialized sales occupations","30","80,000","85,000"
"6210 Technical sales specialists in wholesale trade and retail and wholesale buyers","30","80,000","85,000"
"62100 Technical sales specialists - wholesale trade","20","0","90,000"
"62101 Retail and wholesale buyers","15","0","80,000"
"622 Specialized services occupations","80","58,800","52,000"
"6220 Specialized occupations in services","80","58,800","52,000"
"62200 Chefs","70","53,200","48,000"
"62201 Funeral directors and embalmers","0","0","0"
"62202 Jewellers, jewellery and watch repairers and related occupations","0","0","0"
"63 Occupations in sales and services","425","36,400","42,200"
"631 Occupations in sales","70","56,400","72,000"
"6310 Insurance, real estate and financial sales occupations","70","56,400","72,000"
"63100 Insurance agents and brokers","25","63,600","64,000"
"63101 Real estate agents and salespersons","20","67,500","110,000"
"63102 Financial sales representatives","25","44,000","44,000"
"632 Occupations in services","355","32,400","36,200"
"6320 Cooks, butchers and bakers","285","38,800","39,200"
"63200 Cooks","230","33,600","38,400"
"63201 Butchers - retail and wholesale","10","0","60,000"
"63202 Bakers","45","39,200","38,000"
"6321 Hairstylists and estheticians","55","26,400","24,000"
"63210 Hairstylists and barbers","50","28,400","26,000"
"63211 Estheticians, electrologists and related occupations","0","0","0"
"6322 Shoe repairers, shoemakers and upholsterers","0","0","0"
"63220 Shoe repairers and shoemakers","0","0","0"
"63221 Upholsterers","0","0","0"
"64 Sales and service representatives and other customer and personal services occupations","980","34,000","43,200"
"641 Retail salespersons and non-technical wholesale trade sales and account representatives","390","25,400","35,200"
"6410 Retail salespersons and non-technical wholesale trade sales and account representatives","390","25,400","35,200"
"64100 Retail salespersons and visual merchandisers","385","25,000","33,400"
"64101 Sales and account representatives - wholesale trade (non-technical)","10","0","120,000"
"642 Occupations in personal service","10","0","32,000"
"6420 Occupations in personal service","10","0","32,000"
"64200 Tailors, dressmakers, furriers and milliners","10","0","25,000"
"64201 Image, social and other personal consultants","0","0","0"
"643 Occupations in food, accommodation and tourism","210","24,000","35,200"
"6430 Occupations in food and beverage service","35","17,400","38,000"
"64300 Maîtres d'hôtel and hosts/hostesses","0","0","0"
"64301 Bartenders","35","17,400","38,000"
"6431 Occupations in travel and accommodation","155","31,000","38,000"
"64310 Travel counsellors","25","51,200","60,000"
"64311 Pursers and flight attendants","10","0","45,000"
"64312 Airline ticket and service agents","70","24,800","37,000"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","0","0","0"
"64314 Hotel front desk clerks","45","22,600","26,000"
"6432 Tourism and amusement services occupations","20","3,440","8,500"
"64320 Tour and travel guides","10","0","16,000"
"64321 Casino workers","0","0","0"
"64322 Outdoor sport and recreational guides","15","0","4,000"
"644 Occupations in customer, information and protective services","370","54,800","56,600"
"6440 Customer and information services representatives","170","54,800","52,400"
"64400 Customer services representatives - financial institutions","35","60,000","56,000"
